Move History,Number of Plies,Outcome,Result,Player Scores,ACPL White,ACPL Black
Pe2e4- Pc7c5- Bf1b5- Pa7a6- Bb5a4- Pb7b5- Ba4b3- Pc5c4- Bb3c4x Pb5c4x Pb2b3- Bc8b7- Pb3c4x Bb7e4x Pd2d3- Be4g2x Bc1b2- Bg2h1x Bb2g7x Bf8g7x Nb1c3- Bg7c3$ Ke1f1- Ng8f6- Qd1e1- Bc3e1x Kf1e1x Qd8a5+ Ke1e2- Nb8c6- Ra1b1- Nc6d4+ Ke2e3- Nf6g4+ Ke3d4x Qa5e5+ ,37,checkmate,0-1,"[29, 30, -18, -24, -339, -341, -359, -349, -342, -358, -364, -360, -403, -401, -553, -537, -570, -567, -706, -723, -813, -829, -832, -838, -990, -1010, -1050, -1088, -1088, -99990, -99994, -99995, -99995, -99996, -99999, -100000]",8.642857142857142,0.5
Pe2e3- Pe7e5- Ng1f3- Pe5e4- Pb2b3- Pe4f3x Pg2f3x Pd7d5- Bc1b2- Nb8c6- Pd2d4- Ng8f6- Bf1g2- Bc8e6- Nb1d2- Qd8d7- Pc2c4- Be6h3- Pc4d5x Nf6d5x Qd1c2- Bh3g2x Rh1g1- Bg2h3- Ke1c1- Nc6b4- Qc2b1- Qd7c6+ Qb1c2- Qc6c2$ ,31,checkmate,0-1,"[19, 19, -46, -53, -315, -338, -357, -356, -356, -355, -355, -355, -407, -377, -394, -372, -390, -344, -384, -387, -527, -544, -533, -540, -564, -590, -637, -640, -99999, -100000]",52.61538461538461,7.142857142857143
Pe2e4- Pe7e6- Pd2d3- Pc7c5- Pa2a3- Pd7d5- Pe4d5x Pe6d5x Ng1f3- Nb8c6- Bf1e2- Ng8f6- Ke1g1- Bf8d6- Bc1g5- Ph7h6- Bg5f6x Qd8f6x Nb1c3- Bc8e6- Nc3b5- Bd6b8- Pc2c4- Pd5d4- Qd1a4- Pa7a6- Nb5d4x Pc5d4x Qa4c2- Ke8g8- Nf3d4x Nc6d4x Qc2d2- Qf6e5- Pf2f4- Nd4e2$ Qd2e2x Qe5e2x Rf1f2- Bb8a7- Ra1f1- Qe2d3x Pc4c5- Ba7c5x Pb2b4- Bc5f2$ Rf1f2x Rf8c8- Ph2h3- Qd3e3- Kg1h2- Qe3f2x Kh2h1- Rc8c2- Pg2g4- Be6d5+ ,57,checkmate,0-1,"[29, 49, 10, 17, -26, -26, -32, -35, -28, -28, -39, -30, -41, -39, -72, -29, -43, -63, -64, -66, -146, -160, -199, -214, -289, -319, -408, -392, -412, -415, -701, -712, -701, -709, -712, -711, -789, -823, -855, -866, -873, -878, -880, -898, -934, -99995, -99995, -99996, -99996, -99997, -99997, -99998, -99998, -99999, -99999, -100000]",7.909090909090909,0.8181818181818182
Pd2d4- Ng8f6- Pe2e3- Pe7e6- Bf1d3- Pc7c5- Pd4c5x Bf8c5x Ng1f3- Pd7d5- Ke1g1- Ke8g8- Nb1c3- Nb8d7- Qd1e2- Pe6e5- Pe3e4- Rf8e8- Pe4d5x Pe5e4- Bd3e4x Bc5b4- Bc1g5- Bb4c3x Pb2c3x Ph7h6- Bg5f6x Nd7f6x Be4d3- Re8e2x Bd3e2x Bc8g4- Ph2h3- Bg4f3x Be2f3x Qd8d6- Rf1d1- Ra8c8- Pc3c4- Pg7g5- Ra1c1- Kg8g7- Pc2c3- Pb7b6- Bf3e2- Pa7a5- Pa2a4- Rc8e8- Be2d3- Ph6h5- Pg2g3- Pg5g4- Ph3h4- Nf6d7- Bd3f5- Nd7e5- Bf5c2- Ne5c4x Rd1d4- Qd6a3- Rc1d1- Qa3c3x Rd4c4x Qc3c4x Rd1d3- Re8e1+ Kg1g2- Qc4e4+ Kg2h2- Qe4h1+ ,71,checkmate,0-1,"[31, 37, 17, 13, 11, 16, -11, -17, -18, -16, -23, -19, -23, -13, -55, -56, -61, -65, -168, -123, -262, -236, -212, -208, -214, -205, -207, -203, -439, -433, -445, -462, -446, -437, -436, -425, -447, -439, -454, -440, -444, -446, -456, -447, -454, -449, -445, -428, -453, -428, -474, -469, -414, -436, -435, -435, -443, -444, -470, -467, -494, -510, -585, -770, -99996, -99997, -99997, -99998, -99999, -100000]",28.096774193548388,7.09375
Pf2f4- Ng8f6- Pg2g3- Pd7d5- Bf1g2- Pg7g6- Ng1f3- Pc7c5- Ke1g1- Nb8c6- Pd2d3- Bf8g7- Nb1d2- Ke8g8- Pe2e4- Nf6g4- Ph2h3- Ng4e3- Qd1e2- Ne3f1x Qe2f1x Pd5e4x Pd3e4x Pb7b6- Nf3g5- Pe7e5- Nd2c4- Bc8a6- Pf4f5- Qd8d4+ Kg1h2- Qd4c4x Pb2b3- Qc4f1x Bg2f1x Ba6f1x Pf5g6x Ph7g6x Bc1e3- Bf1a6- Pa2a4- Nc6d4- Be3d4x Pc5d4x Ra1d1- Ra8c8- Ng5f3- Rc8c2$ Kh2g1- Bg7h6- Nf3e5x Bh6e3+ Kg1h1- Ba6b7- Ne5d7- Bb7e4$ ,57,checkmate,0-1,"[-26, -28, -32, -28, -26, -35, -30, -27, -27, -27, -29, -28, -44, -42, -112, -97, -266, -276, -262, -267, -269, -278, -266, -263, -297, -291, -357, -351, -405, -433, -465, -468, -598, -603, -605, -604, -627, -627, -636, -641, -645, -648, -650, -660, -671, -696, -705, -694, -719, -792, -99992, -99993, -99993, -99994, -99999, -100000]",27.666666666666668,2.08
Pd2d4- Pd7d5- Pe2e4- Pd5e4x Bf1d3- Pe4d3x Pc2d3x Ng8f6- Pf2f3- Nb8c6- Nb1c3- Pe7e6- Pd4d5- Nf6d5x Nc3d5x Qd8d5x Ng1e2- Bf8b4+ Bc1d2- Qd5g5- Bd2b4x Qg5h4+ Pg2g3- Qh4b4$ Qd1d2- Bc8d7- Pa2a3- Qb4b6- Pb2b4- Nc6e5- Ra1b1- Ne5f3$ Ke1d1- Bd7a4+ Kd1c1- Nf3d2x Kc1d2x Ke8c8- Rh1c1- Rd8d3$ Kd2e1- Qb6e3- Rc1c4- Rd3d2- Rb1b2- Qe3e2$ ,47,checkmate,0-1,"[31, 37, -57, -51, -456, -421, -527, -518, -620, -578, -572, -566, -629, -619, -626, -608, -618, -606, -598, -623, -610, -592, -605, -614, -603, -603, -617, -618, -626, -636, -756, -744, -762, -783, -771, -781, -780, -792, -99991, -99992, -99993, -99994, -99995, -99996, -99999, -100000]",53.333333333333336,9.157894736842104
Pe2e4- Pc7c5- Pd2d4- Pc5d4x Pf2f4- Nb8c6- Ng1f3- Pd7d5- Pe4e5- Ng8h6- Bf1b5- Qd8a5+ Bc1d2- Qa5b5x Pc2c3- Bc8g4- Pc3d4x Pe7e6- Pa2a4- Qb5d3- Nb1c3- Bg4f3x Qd1f3x Qd3f3x Pg2f3x Nh6f5- Ke1g1- Bf8b4- Nc3b5- Bb4d2x Nb5c7+ Ke8d7- Nc7a8x Rh8a8x Ra1b1- Bd2f4x Rb1c1- Nf5d4x Rf1d1- Nd4e2+ Kg1f2- Ne2c1x Rd1c1x Bf4c1x Kf2e2- Nc6e5x Ke2d1- Ra8c8- Pf3f4- Bc1f4x Ph2h4- Pd5d4- Ph4h5- Pd4d3- Pb2b4- Rc8c1+ ,57,checkmate,0-1,"[30, 25, 39, 23, -78, -67, -57, -60, -60, -63, -437, -441, -447, -445, -484, -517, -504, -531, -551, -553, -544, -556, -537, -535, -548, -539, -571, -553, -637, -660, -676, -695, -691, -697, -700, -711, -714, -727, -803, -796, -815, -823, -840, -866, -933, -99990, -99991, -99992, -99993, -99994, -99994, -99995, -99995, -99996, -99999, -100000]",9.590909090909092,3.1363636363636362
Pd2d4- Ng8f6- Pe2e3- Pe7e6- Ng1f3- Pd7d5- Pc2c3- Pc7c5- Bf1b5+ Nb8d7- Bb5d7$ Bc8d7x Ke1g1- Bf8d6- Nb1d2- Qd8c7- Pb2b3- Pc5d4x Pc3d4x Qc7c3- Bc1b2- Qc3b2x Ra1b1- Qb2a3- Qd1c2- Qa3a6- Nf3e5- Ra8c8- Qc2d3- Qa6d3x Ne5d3x Bd7b5- Nd3b4- Bb5f1x Nb4d3- Bf1d3x Nd2f3- Bd3b1x Nf3e5- Rc8c1+ ,41,checkmate,0-1,"[31, 35, 15, 12, 18, 7, -14, -18, -21, -14, -56, -50, -56, -57, -72, -68, -128, -113, -114, -116, -402, -402, -444, -456, -517, -512, -525, -512, -542, -536, -529, -529, -636, -632, -772, -760, -889, -996, -99999, -100000]",54.22222222222222,4.0
Pe2e4- Pe7e6- Pd2d3- Pd7d5- Ph2h4- Nb8c6- Ph4h5- Ph7h6- Pe4d5x Pe6d5x Qd1e2+ Bf8e7- Nb1c3- Ng8f6- Nc3b5- Pa7a6- Nb5c3- Ke8g8- Bc1d2- Rf8e8- Ke1c1- Be7d6- Bd2f4- Bd6f4$ Qe2d2- Bf4d2$ Rd1d2x Nc6d4- Pg2g3- Bc8g4- Pf2f3- Nf6h5x Pf3g4x Re8e1+ Rd2d1- Qd8g5+ Kc1b1- Re1d1$ Nc3d1x Qg5d2- Ng1h3- Qd2d1$ ,43,checkmate,0-1,"[29, 36, 3, 5, -39, -53, -70, -65, -160, -131, -195, -202, -191, -194, -294, -280, -265, -269, -331, -350, -510, -501, -636, -627, -684, -673, -676, -684, -686, -686, -703, -767, -753, -781, -850, -920, -925, -954, -975, -1024, -99999, -100000]",46.526315789473685,4.3
Pe2e4- Pc7c5- Pd2d4- Pc5d4x Pc2c3- Pd4c3x Nb1c3x Nb8c6- Bf1b5- Pa7a6- Bb5c6x Pd7c6x Ng1f3- Qd8d1$ Nc3d1x Ng8f6- Nd1c3- Nf6d7- Ke1g1- Pe7e5- Bc1e3- Pf7f6- Ra1d1- Nd7c5- Be3c5x Bf8c5x Rf1e1- Bc8e6- Nc3a4- Bc5b4- Rd1c1- Bb4e1x Rc1e1x Be6a2x Na4c5- Ke8c8- Pg2g3- Ba2f7- Nc5a4- Pg7g5- Na4b6+ Kc8c7- Nb6c4- Bf7c4x Nf3d2- Rd8d2x Pb2b4- Rh8d8- Pb4b5- Pc6b5x Re1c1- Rd2d1+ Rc1d1x Rd8d1$ Kg1g2- Bc4f1+ Kg2f3- Ph7h5- Ph2h3- Rd1d3+ ,61,checkmate,0-1,"[29, 34, 25, 20, -33, -31, -36, -22, -33, -37, -30, -30, -116, -114, -144, -141, -142, -144, -151, -141, -140, -155, -188, -196, -275, -289, -316, -303, -291, -323, -419, -444, -450, -467, -487, -465, -483, -474, -493, -485, -549, -541, -634, -638, -741, -739, -754, -766, -769, -834, -99993, -99994, -99996, -99997, -99997, -99998, -99998, -99999, -99999, -100000]",32.416666666666664,3.92
