"Position ID","Predicted Move","Correct Moves","Correctness","Piece","Tag"
"0","d2,e1,h2,f2,f5,g2,g5,g1,c2,h8,h3,b2,c5,h1,h5,a4,b5,f8,e3,a2,c4,e2,f1,c7,d4,c8,K","d2","true","K","King"
"1","c2,e3,d3,e2,e1,c3,d1,c1,d4,f3,f2,g2,f4,d5,b2,d2,b4,a2,g5,b3,a5,f1,d8,d7,,h2,K","e3,d3,c3,e2,c2,d1,c1","false","Kd2","King"
"2","e1,e8,f2,e5,d8,g2,f3,e3,d3,g1,h1,d2,c5,f1,e2,d1,K,,P,c2,c7,b4,d6,e4,N,e6,f5","e1","true","K","King"
"3","g1,f1,d1,e2,d2,c1,f2,b1,c3,e8,h1,B,a1,e4,N,g3,e1,e6,K,a3,g2,c6,c2,h4,1-0,c4,P","e2,d2,f1,d1,g1","true","Ke1","King"
"4","d1,f6,e3,c8,d2,a1,b6,e1,f7,d8,f1,f2,c3,e5,e8,h1,c5,f8,g3,b4,c6,,K,g1,c2,d4","d1","true","K","King"
"5","c1,e1,c2,e2,d2,b1,b3,d3,a1,g1,g2,a4,f3,h1,c3,f1,g4,d4,h5,B,d8,b2,d1,d5,d7,K,0-1","d2,e1,c1","false","Kd1","King"
"6","e8,c8,e1,b8,d1,d7,e4,g8,a8,,e6,f5,c4,f7,b1,B,1/2-1/2,f8,b5,b6,N,P,K,c3,e3,c7,d5","e8","true","K","KingAsBlack"
"7","d7,d8,c8,c6,f8,e7,d6,B,P,f6,a8,b3,e4,g8,N,b8,f7,e8,c5,c3,e6,K,b5,,f3,e5,g6","d7","true","Ke8","KingAsBlack"
"8","e8,d7,d1,e1,e6,c8,e4,e3,d2,d8,f8,f3,f5,g8,e2,b8,f7,a8,e7,c7,f6,c2,f2,c4,d6,B,K","e8","true","K","KingAsBlack"
"9","g8,c8,f8,d7,c6,b8,e7,d8,b5,f7,h5,g1,a8,g6,a4,c3,f6,a6,b3,f3,e5,h8,c7,g7,h6,d5,a1","d8","false","Ke8","KingAsBlack"
"10","e1,e8,d2,f2,e3,f5,e2,f1,d1,N,e4,c3,P,e7,g3,b5,b2,b4,h4,d8,d6,1/2-1/2,c1,d3,h3,,a1","e1","true","K","KingUncommonOpening"
"11","d2,h4,d1,f2,e2,a5,h6,g3,f1,h3,h2,g2,e3,b2,c1,h5,e1,a2,g1,g4,B,c3,P,g5,Q,e8,1-0","d1","false","Ke1","KingUncommonOpening"
"12","e1,e8,f5,h3,d1,e3,e4,d2,e2,K,g4,h1,c5,b6,b5,d8,h5,f6,P,d3,f2,d6,N,f1,1/2-1/2,c4,h4","e1","true","K","KingUncommonOpening"
"13","f1,g1,d1,d2,e2,e1,b1,b2,e8,f2,a1,K,B,a3,e3,1/2-1/2,c1,a8,R,P,f8,g8,f6,e7,N,Q,c8","f1","true","Ke1","KingUncommonOpening"
"14","e1,f5,e8,d1,d8,f2,g1,f1,e3,c1,d7,c8,b5,d2,c4,,b1,e2,1/2-1/2,h3,e4,N,P,f6,c6,K,b6","e1","true","K","KingUncommonOpening"
"15","e2,f2,d2,d1,f1,c3,g1,g3,h2,h4,d8,g2,d3,e3,e1,c2,a3,Q,f3,h3,a2,b2,B,h5,0-1,a4,g4","e2","true","Ke1","KingUncommonOpening"
"16","e1,e8,f2,d2,e2,g1,e3,f1,b5,g4,c3,d6,f5,h2,d5,1/2-1/2,,Q,N,P,c2,K,e4,b6,b2,h3,h5","e1","true","K","KingUncommonOpening"
"17","e2,f2,d2,g2,h2,b2,Q,f1,a2,e1,e4,d1,h4,a5,e7,a6,P,b7,d3,e8,c2,N,e3,h5,g4,B,g7","e2","true","Ke1","KingUncommonOpening"
"18","c1,f1,e1,c2,a1,d2,b3,c3,b1,c4,c8,g2,g1,h1,d3,f2,e2,a2,a6,b2,a3,g7,h5,h6,g6,a5,d1","c1","true","K","KingLategame"
"19","c2,d2,b2,d1,b1,c4,e3,a3,c8,c3,d3,e2,a1,e1,c7,g1,c6,a4,1/2-1/2,g5,c1,K,b3,h6,f4,a2,","d2,c2,d1,b1","false","Kc1","KingLategame"
"20","h1,g1,h7,a1,h2,h8,c6,h3,K,d1,h5,g2,f6,g6,f1,g5,c7,g8,e5,c8,e4,a7,,c1,b6,b7,R","h1","true","K","KingLategame"
"21","g2,g1,h2,h3,g3,h4,f1,e1,f2,e4,g4,f3,e2,c1,h8,h7,h5,b7,c6,b1,d2,B,d1,h1,a1,N,R","g2,g1","true","Kh1","KingLategame"
"22","e2,g2,e1,f3,b7,b2,f7,e8,g1,b1,c2,d7,f2,d5,c1,f1,f4,f5,c8,a4,d4,g8,g7,e4,d2,R,K","e2","true","K","KingLategame"
"23","f3,d3,d2,f1,e3,d1,f2,e1,e4,e5,e6,b5,h5,c3,g2,h2,e7,e2,c4,K,g4,c2,g3,e8,P,R,b2","d2,f1,e1,d1","false","Ke2","KingLategame"
"24","g1,d1,c8,b1,c4,b8,b7,e8,a4,f2,d2,a1,b4,a7,b6,g2,g4,g8,,N,e4,b2,h2,R,c6,b5,c3","g1","true","K","KingOneLegalMove"
"25","h1,g2,f1,h2,f2,a1,g1,c1,a8,g3,h3,c8,a2,a7,g7,b8,K,c2,c6,e1,R,d1,d2,b2,e2,1/2-1/2,b6","h1","true","Kg1","KingOneLegalMove"
"26","b5,b3,c5,c7,b4,a4,c2,a2,d5,a6,c1,d4,c6,c4,d2,e5,K,b6,a5,a7,N,a3,a8,,c8,P,e3","b5","true","K","KingChecks"
"27","c6,b6,b4,c4,a6,c5,a4,a5,d5,b5,e2,d3,d7,e8,d6,b8,f5,K,Q,e5,b7,f1,b3,g5,e4,h5,d4","b6,a4","false","Kb5","KingChecks"
"28","f1,h1,f2,f8,d1,a1,c2,a7,c8,d2,b5,1/2-1/2,a6,K,g1,e1,b8,d8,e4,R,a3,,c1,N,f7,Q","f1","true","K","KingChecks"
"29","e1,g1,e2,g2,f2,b5,d1,b1,d3,c1,a1,d2,a6,f1,h1,e3,f3,g3,c2,h3,c4,b2,a2,f8,Q,f4,f6","g1,e1","true","Kf1","KingChecks"
"30","c1,e1,d1,a1,c2,d2,f2,f1,e2,c8,c3,a2,c7,Q,N,K,b6,g2,h6,h1,b1,b2,f5,P,e7,b3","c1","true","K","KingChecks"
"31","b1,d1,c2,b2,d2,a1,g1,c8,a3,c1,a2,e1,c7,g5,N,Q,P,h1,b8,B,0-1,h6,R,b3,d3,a8,c6","c2,b1","false","Kc1","KingChecks"
"32","f1,h1,c2,f2,d1,g1,b5,c4,f3,c1,c8,a1,d3,c6,b7,e4,d2,1/2-1/2,f8,a6,e3,b8,b4,g2,e1,d8,b3","f1","true","K","KingChecks"
