"Position ID","Predicted Move","Correctness"
"0","Qd2g5","true"
"1","Pd5c4","true"
"2","Pc2c3","true"
"3","Pd2d4","true"
"4","Pd6e5","true"
"5","Rh8h7","true"
"6","Pf5e4","true"
"7","Ph2h3","true"
"8","Pb2b4","true"
"9","Pd7d6","true"
"10","Ra8c8","true"
"11","Bb7f3","true"
"12","Pb5a6","true"
"13","Re3a3","true"
"14","Rd7d8","true"
"15","Nc7e6","true"
"16","Pf5f4","false"
"17","Be5c3","true"
"18","Bb4c3","true"
"19","Rc3c4","true"
"20","Pb7b5","false"
"21","Qg5g7","true"
"22","Bc8d7","true"
"23","Nf6h7","true"
"24","Kf1e2","true"
"25","Ke8d7","true"
"26","Ke1d2","true"
"27","Kg8h8","true"
"28","Bf5d7","false"
"29","Nh6f7","true"
"30","Nc5e6","true"
"31","Bf4e5","false"
"32","Kg3f2","true"
"33","Ke8e7","true"
"34","Kc1c2","true"
"35","Nf3e5","true"
"36","Pf2f3","false"
"37","Qa5c3","false"
"38","Qe7d7","false"
"39","Bf1e2","true"
"40","Nc3d1","true"
"41","Nh6g4","true"
"42","Ra8d8","true"
"43","Ke8e7","true"
"44","Ne5f3","true"
"45","Nb1c3","false"
"46","Rf1f6","false"
"47","Qf7f8","true"
"48","Qd2d1","true"
"49","Kg8f7","true"
"50","Pf2f3","true"
"51","Pb5c4","true"
"52","Pg4h5","true"
"53","Kd2c2","true"
"54","Pf6f5","true"
"55","Bg5f6","true"
"56","Pf2e3","false"
"57","Kh8g8","false"
"58","Ng5f3","true"
"59","Bc1b2","true"
"60","Qa5a4","true"
"61","Ng1e2","true"
"62","Bd3c2","true"
"63","Bd2c3","true"
"64","Kh8g8","false"
"65","Nc6d4","false"
"66","Pb7b5","true"
