"Game String","Moves Until Error","Error Type","First Illegal Move","Predicted Tokens"
"f2 K Pa7a6 Q Pd2 Pd7d6 Qd1e1 Qd8d7d6 Qe1 Bc8d7d5 Qe1 Bc8d7d5 Pc2 Qd7g4 Pg2g3 Pg7g6 Ng1f3 Bf8g7 Nb1c3 Bg7h6 Nc3b5 Bd7b5 Nb5c7 Bb5d7 Nf3d4 Ng8f6 Nd4b5 Nb8c6 Pe2e3 Nf6g4 Rh1d1 Ra8c8 Rd1f1 Ng4e3 Pd2e3 Rc8c2 Rf1e1 Pf7f5 Nb5d6 Ke8g8 Nd6f5 Bd7c6 Nf5e7 Kg8h8 Nf5g7 Kh8g7 Ng7f5 Pg6f5 Ne3c2 Rc2a2 Pe3e4 Ra2f2 Nc2a1 Rf2h2 Na1c2 Rh2f2 Ke1f2 Rf2g2 Kf2e1 Rg2g1 Ke1d2 Rf8e8 Nc2e1 Re8f8 Ne1d3 Rf8d8 Nd3e5 Rd8d1 Ne5f7 Kg8f7 Nf7g5 Re8d8 Nf5g3 Rd8d7 Ng3f5 Rd8d6 Nf5d6 Rd6d1 Re1d1 Rd1d2 Kd2d1 Rd2c2","0","syntax","f2","75 48 1 75 6 13 12 2 6 32 6 37 36 2 31 39 2 38 37 36 2 39 4 30 37 35 2 39 4 30 37 35 6 24 2 37 58 6 56 57 6 61 60 5 55 49 4 54 61 5 15 25 4 61 68 5 25 19 4 37 19 5 19 29 4 19 37 5 49 34 5 62 52 5 34 19 5 22 28 6 40 41 5 52 58 3 63 31 3 14 30 3 31 47 5 58 41 6 32 41 3 30 24 3 47 39 6 53 51 5 19 36 1 46 62 5 36 51 4 37 28 5 51 45 1 62 70 5 51 61 1 70 61 5 61 51 6 60 51 5 41 24 3 24 8 6 41 42 3 8 48 5 24 7 3 48 64 5 7 24 3 64 48 1 39 48 3 48 56 1 48 39 3 56 55 1 39 32 3 54 46 5 24 39 3 46 54 5 39 33 3 54 38 5 33 43 3 38 31 5 43 53 1 62 53 5 53 59 3 46 38 5 51 57 3 38 37 5 57 51 3 38 36 5 51 36 3 36 31 3 39 31 3 31 32 1 32 31 3 32 24"
"Ph2h3 Pd7d6 Qd8d7e8 Nb8 Pa2a4 Ra8b8 Pa4a5 Nb8c6 Ra1a5 Nb8a6 Pd2d4 Pe7e6 Pf2f3 Ph7h5 Bc1d2 Bc8d7 Bf1g2 Ph5e2 Qd1d3 Ng8e7 Pb2b3 Pf7f6 Qb3e6 Ne7g6 Pg3g4 Bf8e7 Nb1c3 Pf6f5 Nc3b5 Rh8h7 Ng1h3 Ke8g8 Pf3f4 Ng6f4 Ke1g1 Pg7g5 Nh3f4 Be7h4 Bg2f3 Pg5f4 Nb5d6 Rh7f7 Nd6f7 Pc7d6 Nf4h3 Rf7f1 Nh3f2 Bh4g5 Nf2h3 Bg5f4 Nh3f2 Bf4g3 Kg1f2 Qd8h4 Kf2e1 Nc6d4 Ke1d1 Nd4b5 Pc2c3 Qh4g3 Kd1d2 Kg8f7 Kd2e1 Rf7f2 Pc3c4 Pb5c4 Ke1d1 Nb5c3 Kd1c2 Kf7e8 Kc2c3 Nc3e4 Kc3d3 Ne4c5 Kd3d6 Nc5a4 Kd6c6 Na4b2 Kc6b5 Nb2a4","2","syntax","Ph2h3 Pd7d6 Qd8d7e8","75 6 64 65 6 37 36 2 38 37 46 5 22 6 8 10 3 14 22 6 10 11 5 22 28 3 7 11 5 22 12 6 32 34 6 45 44 6 48 49 6 69 67 4 23 32 4 30 37 4 47 56 6 67 40 2 31 33 5 62 45 6 16 17 6 53 52 2 17 44 5 45 60 6 57 58 4 54 45 5 15 25 6 52 51 5 25 19 3 70 69 5 55 65 1 46 62 6 49 50 5 60 50 1 39 55 6 61 59 5 65 50 4 45 66 4 56 49 6 59 50 5 19 36 3 69 53 5 36 53 6 29 36 5 50 65 3 53 47 5 65 48 4 66 59 5 48 65 4 59 50 5 65 48 4 50 57 1 55 48 2 38 66 1 48 39 5 28 34 1 39 31 5 34 19 6 24 25 2 66 57 1 31 32 1 62 53 1 32 39 3 53 48 6 25 26 6 19 26 1 39 31 5 19 25 1 31 24 1 53 46 1 24 25 5 25 42 1 25 33 5 42 27 1 33 36 5 27 10 1 36 28 5 10 16 1 28 19 5 16 10"
"Pa2a3 Pd7d5 Ng1f3 Pe7e5 Pg2g3 Bf8d6 Bf1g2 Ng8f6 Pd2d3 Pc7c6 Pe2e4 Ph7h6 Pc2c4 Pa7a6 Pc4c5 Nb8c6 Qd1c2 Nc6e7 Pe4e5 Ne7g8 Pb2b4 Pa6a5 Nb1c3 Ng8e7 Nc3b5 Ne7d5 Nb5c7 Ke8d7 Nc7a8 Rh8h4 Ng1h3 Nd5e7 Nh3f2 Ne7f5 Nf2g4 Nf5g3 Nf2g4 Nc6d4 Ng4f6 Nd4c2 Nf6e8 Bc8e6 Ke1d2 Be6d7 Ne8f6 Nc2a1 Nf6h7 Kd7c7 Nh7f8 Re7f7 Nh7g5 Rf7f5 Qc2e2 Rf5f8 Qe2b5 Ra8c8 Ng5f7 Qd8f6 Qb5b8 Qf6e6 Qb8a7 Bd7e6 Qa7a4 Ne6d4 Qa4a8 Kd7c6 Qa8d8 Kc6b5 Qd8f6 Kb5c4 Qf6d8 Kc4d4 Pe5e6 Kd4e5 Qd8a5 Ke5e6 Qa5e5 Ke6f5 Qe5a5 Kf5g6","15","path obstruction","Pa2a3 Pd7d5 Ng1f3 Pe7e5 Pg2g3 Bf8d6 Bf1g2 Ng8f6 Pd2d3 Pc7c6 Pe2e4 Ph7h6 Pc2c4 Pa7a6 Pc4c5 Nb8c6","75 6 8 9 6 37 35 5 55 49 6 45 43 6 56 57 4 54 36 4 47 56 5 62 52 6 32 33 6 29 28 6 40 42 6 69 68 6 24 26 6 13 12 6 26 27 5 22 28 2 31 24 5 28 45 6 42 43 5 45 62 6 16 18 6 12 11 5 15 25 5 62 45 5 25 19 5 45 35 5 19 29 1 46 37 5 29 14 3 70 66 5 55 65 5 35 45 5 65 48 5 45 51 5 48 58 5 51 57 5 48 58 5 28 34 5 58 52 5 34 24 5 52 46 4 30 44 1 39 32 4 44 37 5 46 52 5 24 7 5 52 69 1 37 29 5 69 54 3 45 53 5 69 59 3 53 51 2 24 40 3 51 54 2 40 19 3 14 30 5 59 53 2 38 52 2 19 22 2 52 44 2 22 13 4 37 44 2 13 10 5 44 34 2 10 14 1 37 28 2 14 38 1 28 19 2 38 52 1 19 26 2 52 38 1 26 34 6 43 44 1 34 43 2 38 11 1 43 44 2 11 43 1 44 51 2 43 11 1 51 60"
"Pe2e4 Pb7b5 Pb5b4 Qd8d1 Pc2c3 Pd7d5 Pc3c4d5d6d5 Pg2g4 Pd5d4 Bc1b2 Pf7f6 Pg4g5 Pf6g5 Ng1f3 Pd4f3 Pg5f6 Bc8f5 Pe2e3 Nb8c6 Nf3h4 Nc6e5 Nh4f5 Ne5f7 Rh1g1 Nf7e5 Pd2d4 Pe7e6 Nf5d6 Pc7d6 Nb1d2 Bf8d6 Pd4e5 Bd6e5 Bb2e5 Qd8e7 Nd2f1 Be5a1 Qd1a1 Qe7e5 Ke1d2 Qe5f5 Kd2e2 Ke8d8 Qa1e5 Ra8e8 Qe5h8 Qf5f8 Qh8e8 Kd8e8 Qe8d8 Ke8f7 Qd8d5 Ba1b2 Qd5g5 Bb2e5 Qg5g7h6g5f4 Qh6f4 Kf7g6 Qf4f6 Kg6f6 Nd2c4 Kf6f5 Nc4e3 Kf5e6 Ne3f5 Pe6f5 Nf5g7 Ke6d7 Bd3f5 Kd7e6 Ph2h4 Ke6f6 Ng7f5 Ph7h6 Pf2f4 Pb7b5 Ph4h5 Kf6e6","2","piece logic","Pe2e4 Pb7b5 Pb5b4","75 6 40 42 6 21 19 6 19 18 2 38 31 6 24 25 6 37 35 6 25 26 35 36 35 6 56 58 6 35 34 4 23 16 6 53 52 6 58 59 6 52 59 5 55 49 6 34 49 6 59 52 4 30 51 6 40 41 5 22 28 5 49 66 5 28 43 5 66 51 5 43 53 3 63 55 5 53 43 6 32 34 6 45 44 5 51 36 6 29 36 5 15 32 4 54 36 6 34 43 4 36 43 4 16 43 2 38 45 5 32 47 4 43 7 2 31 7 2 45 43 1 39 32 2 43 51 1 32 40 1 46 38 2 7 43 3 14 46 2 43 70 2 51 54 2 70 46 1 38 46 2 46 38 1 46 53 2 38 35 4 7 16 2 35 59 4 16 43 2 59 61 68 59 50 2 68 50 1 53 60 2 50 52 1 60 52 5 32 26 1 52 51 5 26 41 1 51 44 5 41 51 6 44 51 5 51 61 1 44 37 4 33 51 1 37 44 6 64 66 1 44 52 5 61 51 6 69 68 6 48 50 6 21 19 6 66 67 1 52 44"
"Be4e5e5e5e5e5f6f7f6e5f6e5d4e5e4e5e6d5d4e5d4e5d4 Kd4d4c3d4c4d4d5c4d4d5d4 Pe2e4 Pc7c6c5c4d5d6 Kc4 Kd6c6 Pb2b3 Pc2c4 Bf8e7 Pd2d3c4d5c6 Pa2a3a4a5a4 Pa4a5 Pb7b6 Pf2f4 Pd7d6 Bc1b2 Bc8a6 Bb2b3 Pd6d5 Pg2g4 Pc6c5 Pg4g5 Pb7b5 Bb2b4 Bc6c5 Pc2c4 Pb5c4 Pb4b5 Bc6b5 Bb5b6 Pc5c4 Ph2h3 Pc4b3 Bb2b3 Pc5b6 Bb3b2 Bc4c3 Bb2b1 Bf8h6 Ph3h4 Pb5b4 Bb2d3 Bc4c3 Bb2c3 Pb4b3 Bb1b2 Bb3b2 Bb2c3 Bb2b1 Bc3 Qd8c8d7 Bb2b1 Bd7c6 Bb1b2 Bc6b7 Bb2b1 Bb7b5 Bb1b2 Nb8c8 Bb2e2 Ng8f6 Be2f3 Nc8a7 Bf3g2 Bf6g4 Bg2f1 Ng4e3","0","syntax","Be4e5e5e5e5e5f6f7f6e5f6e5d4e5e4e5e6d5d4e5d4e5d4","75 4 42 43 43 43 43 43 52 53 52 43 52 43 34 43 42 43 44 35 34 43 34 43 34 1 34 34 25 34 26 34 35 26 34 35 34 6 40 42 6 29 28 27 26 35 36 1 26 1 36 28 6 16 17 6 24 26 4 54 45 6 32 33 26 35 28 6 8 9 10 11 10 6 10 11 6 21 20 6 48 50 6 37 36 4 23 16 4 30 12 4 16 17 6 36 35 6 56 58 6 28 27 6 58 59 6 21 19 4 16 18 4 28 27 6 24 26 6 19 26 6 18 19 4 28 19 4 19 20 6 27 26 6 64 65 6 26 17 4 16 17 6 27 20 4 17 16 4 26 25 4 16 15 4 54 68 6 65 66 6 19 18 4 16 33 4 26 25 4 16 25 6 18 17 4 15 16 4 17 16 4 16 25 4 16 15 4 25 2 38 30 37 4 16 15 4 37 28 4 15 16 4 28 21 4 16 15 4 21 19 4 15 16 5 22 30 4 16 40 5 62 52 4 40 49 5 30 13 4 49 56 4 52 58 4 56 47 5 58 41"
"Pa2a3 Qd8h4 Qh2h4 Bg8f6 Qh4h5 Pa7a5 Bc1a3 Ph7h5 Qh5d1 Pg7g6 Qd1h5 Pg6g5 Qh5e2 Qd8d7 Qe2e3 Pg5g4 Qe3e2 Pg4g3 Pf2g3 Pf6f5 Pa2a4 Pf5f4 Pa4a5 Pf4g3 Pg3g4 Pg3g2 Ke1f2 Pf7f5 Pb2b3 Pf5g4 Pf3g4 Pf5g4 Pf2f3 Nb8c6 Pf3g4 Nc6d4 Pc2c4 Nd4c2 Kf2e2 Nc2a1 Pb3b4 Pg4h3 Nb1a3 Ph3h2 Ke2d2 Nd4c2 Kd2c2 Bf8h6 Qe2f3 Nc2d4 Kc2c3 Nd4c2 Kc3c2 Nc2a1 Kc2b3 Bh6c1 Kb3c2 Bh6e3 Kc2c3 Be3g1 Kc3b3 Bg1e3 Kb3c2 Be3c1 Kc2b3 Bc1b2 Na3c4 Pd5c4 Nc4b2 Bb2a1 Nb2h5 Ba1d4 Kb3a4 Bb2c3g7e5f5 Bd4b2 Nh5f4 Bb2d4 Kf5f6 Bd4f6","1","path obstruction","Pa2a3 Qd8h4","75 6 8 9 2 38 66 2 64 66 4 62 52 2 66 67 6 13 11 4 23 9 6 69 67 2 67 31 6 61 60 2 31 67 6 60 59 2 67 40 2 38 37 2 40 41 6 59 58 2 41 40 6 58 57 6 48 57 6 52 51 6 8 10 6 51 50 6 10 11 6 50 57 6 57 58 6 57 56 1 39 48 6 53 51 6 16 17 6 51 58 6 49 58 6 51 58 6 48 49 5 22 28 6 49 58 5 28 34 6 24 26 5 34 24 1 48 40 5 24 7 6 17 18 6 58 65 5 15 9 6 65 64 1 40 32 5 34 24 1 32 24 4 54 68 2 40 49 5 24 34 1 24 25 5 34 24 1 25 24 5 24 7 1 24 17 4 68 23 1 17 24 4 68 41 1 24 25 4 41 55 1 25 17 4 55 41 1 17 24 4 41 23 1 24 17 4 23 16 5 9 26 6 35 26 5 26 16 4 16 7 5 16 67 4 7 34 1 17 10 4 16 25 61 43 51 4 34 16 5 67 50 4 16 34 1 51 52 4 34 52"
"Ng1f3 Ng8f6 Ng1h3 Pe7e5 Nh3g1 Pe5e4 Ng1h3 Nb8c6 Ng1h3 Ng8f6 Nh3g1 Pg7g5 Nh3g1 Pd7d5 Ng1h3 Pg5g4 Ng1h3 Pd5d4 Nh3g1 Bc8h3 Ng1h3 Ng8e7 Ng1h3 Pg4h3 Nh3g1 Ne7e6 Ng1h3 Nb8c6 Pg2g3 Nc6e7 Nh3g1 Ne7f5 Ng1h3 Ne7f5 Nh3g1 Rh8g8 Ke1e2 Nf5e3 Pe2e3 Nc6b4 Pf2f3 Pc7c5 Pf3f4 Qd8g5 Pd2d4 Qg5g6 Pc2c3 Ra8d8 Pc3c4 Qg6e6 Qd1b3 Qe6g6 Qb3e6 Qg6e6 Qe6h6 Qe6g6 Qh6h5 Ke8e7 Qh5d1 Rg8h8 Qd1g4 Rh8e8 Qg4e4 Bf8e7 Qe4h7 Re8f8 Rh1d1 Rf8e8 Qh7g6 Re8d8 Rd1f1 Rd8f8 Rf1d1 Qg6e6 Qg6h7 Qe6d6 Rd1f1 Re8g8 Qh7e4 Qd6f6","2","pseudolegal","Ng1f3 Ng8f6 Ng1h3","75 5 55 49 5 62 52 5 55 65 6 45 43 5 65 55 6 43 42 5 55 65 5 22 28 5 55 65 5 62 52 5 65 55 6 61 59 5 65 55 6 37 35 5 55 65 6 59 58 5 55 65 6 35 34 5 65 55 4 30 65 5 55 65 5 62 45 5 55 65 6 58 65 5 65 55 5 45 44 5 55 65 5 22 28 6 56 57 5 28 45 5 65 55 5 45 51 5 55 65 5 45 51 5 65 55 3 70 62 1 39 40 5 51 41 6 40 41 5 28 18 6 48 49 6 29 27 6 49 50 2 38 59 6 32 34 2 59 60 6 24 25 3 14 38 6 25 26 2 60 44 2 31 17 2 44 60 2 17 44 2 60 44 2 44 68 2 44 60 2 68 67 1 46 45 2 67 31 3 62 70 2 31 58 3 70 46 2 58 42 4 54 45 2 42 69 3 46 54 3 63 31 3 54 46 2 69 60 3 46 38 3 31 47 3 38 54 3 47 31 2 60 44 2 60 69 2 44 36 3 31 47 3 46 62 2 69 42 2 36 52"
"Ph2h4 Pf7f5 Ph4h5 Pe7e5 Pg2g3 Ng8h6 Rh1h2 Rh8h5 Bf1g2 Nb8c6 Ng1h3 Nc6e7 Nh3g1h3g1h3 Nh3g1 Ne7d5 Ng1f3 Nd5c3 Nf3g1 Nc6e7 Ng1f3 Ne7f5 Nf3g1 Pc7c6 Ng1f3 Pg7g5 Nf3g1 Pg5f3 Ng1f3 Pg4g3 Pa2a3 Pb7b5 Nf3g1 Pg3f2 Ke1f2 Ph7h5 Pd2d3 Pd7d5 Nf3g1 Pg5g4 Ng1f3 Pd5d4 Pd3d4 Pc6c5 Ng1h3 Bc8g4 Nf3g1 Bg4h5 Ng1h3 Bf8g7 Nh3g1 Ra8c8 Ng1h3 Ph5h4 Nh3g1 Ph4h3 Pg2g3 Bg7h6 Ng1h3 Bh6f4 Nh3g1 Bf4h6 Ra1b1 Bh6g5 Pe2e4 Bg5h6 Bc1d2 Bh6f4 Kf2e2 Bf4e3 Ke2e3 Be3b6 Qd1e1 Bb6d4 Rb1d1 Bd4c3 Rd1c1 Bc3d4 Ng1h3 Bd4e3","7","path obstruction","Ph2h4 Pf7f5 Ph4h5 Pe7e5 Pg2g3 Ng8h6 Rh1h2 Rh8h5","75 6 64 66 6 53 51 6 66 67 6 45 43 6 56 57 5 62 68 3 63 64 3 70 67 4 47 56 5 22 28 5 55 65 5 28 45 5 65 55 65 55 65 5 65 55 5 45 35 5 55 49 5 35 25 5 49 55 5 28 45 5 55 49 5 45 51 5 49 55 6 29 28 5 55 49 6 61 59 5 49 55 6 59 49 5 55 49 6 58 57 6 8 9 6 21 19 5 49 55 6 57 48 1 39 48 6 69 67 6 32 33 6 37 35 5 49 55 6 59 58 5 55 49 6 35 34 6 33 34 6 28 27 5 55 65 4 30 58 5 49 55 4 58 67 5 55 65 4 54 61 5 65 55 3 14 30 5 55 65 6 67 66 5 65 55 6 66 65 6 56 57 4 61 68 5 55 65 4 68 50 5 65 55 4 50 68 3 7 15 4 68 59 6 40 42 4 59 68 4 23 32 4 68 50 1 48 40 4 50 41 1 40 41 4 41 20 2 31 39 4 20 34 3 15 31 4 34 25 3 31 23 4 25 34 5 55 65 4 34 41"
"Pa2a3a2a3a2a3 Pe7e6 Pd7d6 Ke8 Ke8e7 Pe2e3 Pd7d6 Pb2b4 Ke8d7 Pc2c3 Ke8d7 Ke1e2 Kd7d6 Ke2f3 Pc7c6 Ke2d3 Ke8f7 Kd3c2 Pg7g6 Kc2b3 Nb8c6 Kb3c2 Pb7b6 Kc2d1 Bc8b7 Kd1c2 Pf7f5 Kd1e1 Ke8f7 Ph2h3 Kf7f6 Ke1d1 Kf6g7 Kd1e1 Pd6d5 Ke1d1 Pe7e5 Kd1e1 Pe5e4 Ke1d1 Pd5d4 Kd1e1 Bf8g7 Pc3c4 Pe4f3 Bf1e2 Kg7f7 Pg2f3 Pf5f4 Kd1e1 Ng8f6 Pe3e4 Kf7g7 Pe4e5 Nf6d5 Ng1f3 Nd5f6 Ke1d1 Nf6h5 Pe5e6 Pd7e6 Be2h5 Pd4d3 Pd2d3 Nh5g3 Bc1h6 Pd3c2 Bh6f4 Ng3h1 Bf4g3 Nh1g3 Re1d1 Nc6e5 Ra1a7 Ne5f3 Bg3c7 Bb7f3 Bc7d8 Nf3h2","0","syntax","Pa2a3a2a3a2a3","75 6 8 9 8 9 8 9 6 45 44 6 37 36 1 46 1 46 45 6 40 41 6 37 36 6 16 18 1 46 37 6 24 25 1 46 37 1 39 40 1 37 36 1 40 49 6 29 28 1 40 33 1 46 53 1 33 24 6 61 60 1 24 17 5 22 28 1 17 24 6 21 20 1 24 31 4 30 21 1 31 24 6 53 51 1 31 39 1 46 53 6 64 65 1 53 52 1 39 31 1 52 61 1 31 39 6 36 35 1 39 31 6 45 43 1 31 39 6 43 42 1 39 31 6 35 34 1 31 39 4 54 61 6 25 26 6 42 49 4 47 40 1 61 53 6 56 49 6 51 50 1 31 39 5 62 52 6 41 42 1 53 61 6 42 43 5 52 35 5 55 49 5 35 52 1 39 31 5 52 67 6 43 44 6 37 44 4 40 67 6 34 33 6 32 33 5 67 57 4 23 68 6 33 24 4 68 50 5 57 63 4 50 57 5 63 57 3 39 31 5 28 43 3 7 13 5 43 49 4 57 29 4 21 49 4 29 38 5 49 64"
"P Pb7 Pa7a5 Ph2h4 Pe2e4 Pg2g4 Ng8f6 Bf1h3 Nf6e4 Ng1f3 Ne4g3 Nf3e5 Pd7d5 Ne5f7 Ke8f8 Nb1c3 Ng3f5 Pg4f5 Ph7h6 Ph6h5 Pg7g5 Nc3d5 Bf5h3 Pg5f6 Ng8f6 Rh1g1 Kf8g7 Pg2h3 Nf6d5 Ph3h4 Nd5e3 Pd2d4 Ne3d1 Ke1d2 Nd1f2 Kd2c3 Nf2g4 Kc3b3 Ng4e5 Kb3c2 Ne5f3 Kc2b3 Rh8h1 Kb3b4 Pa5a4 Kb4a4 Nf3e5 Ka4b3 Ne5c6 Kb3b4 Nc6d4 Kb4b5 Nd4f5 Ra1d1 Rh1c6 Rd1d2 Rc6d6 Kb5a5 Rd6b6 Ka5b4 Rb6b5 Kb4b5 Pb7b6 Kb5c4 Pc7c5 Kc4d3 Pc5c4 Kd3e2 Pc4b3 Ke2e1 Bc8a6 Ke1d2 Ba6b5 Ke1d1 Bb5f1 Kd1e1 Bf1g2 Ke1f1 Qd8d4 Kd1e1 Qd4d2","0","syntax","P","75 6 6 21 6 13 11 6 64 66 6 40 42 6 56 58 5 62 52 4 47 65 5 52 42 5 55 49 5 42 57 5 49 43 6 37 35 5 43 53 1 46 54 5 15 25 5 57 51 6 58 51 6 69 68 6 68 67 6 61 59 5 25 35 4 51 65 6 59 52 5 62 52 3 63 55 1 54 61 6 56 65 5 52 35 6 65 66 5 35 41 6 32 34 5 41 31 1 39 32 5 31 48 1 32 25 5 48 58 1 25 17 5 58 43 1 17 24 5 43 49 1 24 17 3 70 63 1 17 18 6 11 10 1 18 10 5 49 43 1 10 17 5 43 28 1 17 18 5 28 34 1 18 19 5 34 51 3 7 31 3 63 28 3 31 32 3 28 36 1 19 11 3 36 20 1 11 18 3 20 19 1 18 19 6 21 20 1 19 26 6 29 27 1 26 33 6 27 26 1 33 40 6 26 17 1 40 39 4 30 12 1 39 32 4 12 19 1 39 31 4 19 47 1 31 39 4 47 56 1 39 47 2 38 34 1 31 39 2 34 32"
