"Game String","Moves Until Error","Error Type","First Illegal Move","Predicted Tokens"
"Pe2e4- Pe7e6- Pd2d3- Pe6e5- Ng1f3- Pd7d6- Nb1c3- Bc8g4- Ph2h3- Bg4f3x Qd1f3x Qd8f6- Nc3d5- Qf6f3x Pg2f3x Nb8c6- Bc1g5- Nc6d4- Ke1c1- Ng8f6- Bg5f6x Pg7f6x Rd1e1- Bf8h6- Pc2c3- Ke8c8- Pc3d4x Pe5d4x Ph3h4- Pc7c6- Ph4h5- Pc6d5x Pe4d5x Pa7a6- Pb2b3- Bh6g7- Pa2a4- Bg7h6- Re1e4- Rd8d7- Pf3f4- Bh6f4x Re4f4x Bh6f4x Rh1h7x Bf4h6- Rh7h6x Rh8h6x Pf2f3- Rh6h5x Kc1b2- Rd7g7- Pf3f4- Rg7g5- Bf1e2- Rh5h4- Be2g4- Pf6f5- Pg4f5x Rg5g1- Pf5f6- Rg1f1+ Kb2a3- Pe7f6x Ka3b4- Pa6a5+ Kb4a5x Kc8c7- Pf6f7x Rf1f8- Bg4d7- Rf8f4x Bd7h3- Rf4f7x Pd5d6$ Kc7d6x Pb3b4- Rf7b7+ Ka5a6- Kd6c5-","23","pseudolegal","Pe2e4- Pe7e6- Pd2d3- Pe6e5- Ng1f3- Pd7d6- Nb1c3- Bc8g4- Ph2h3- Bg4f3x Qd1f3x Qd8f6- Nc3d5- Qf6f3x Pg2f3x Nb8c6- Bc1g5- Nc6d4- Ke1c1- Ng8f6- Bg5f6x Pg7f6x Rd1e1- Bf8h6-","75 6 40 42 76 6 45 44 76 6 32 33 76 6 44 43 76 5 55 49 76 6 37 36 76 5 15 25 76 4 30 58 76 6 64 65 76 4 58 49 81 2 31 49 81 2 38 52 76 5 25 35 76 2 52 49 81 6 56 49 81 5 22 28 76 4 23 59 76 5 28 34 76 1 39 23 76 5 62 52 76 4 59 52 81 6 61 52 81 3 31 39 76 4 54 68 76 6 24 25 76 1 46 30 76 6 25 34 81 6 43 34 81 6 65 66 76 6 29 28 76 6 66 67 76 6 28 35 81 6 42 35 81 6 13 12 76 6 16 17 76 4 68 61 76 6 8 10 76 4 61 68 76 3 39 42 76 3 38 37 76 6 49 50 76 4 68 50 81 3 42 50 81 4 68 50 81 3 63 69 81 4 50 68 76 3 69 68 81 3 70 68 81 6 48 49 76 3 68 67 81 1 23 16 76 3 37 61 76 6 49 50 76 3 61 59 76 4 47 40 76 3 67 66 76 4 40 58 76 6 52 51 76 6 58 51 81 3 59 55 76 6 51 52 76 3 55 47 77 1 16 9 76 6 45 52 81 1 9 18 76 6 12 11 77 1 18 11 81 1 30 29 76 6 52 53 81 3 47 54 76 4 58 37 76 3 54 50 81 4 37 65 76 3 50 53 81 6 35 36 79 1 29 36 81 6 17 18 76 3 53 21 77 1 11 12 76 1 36 27 76"
"Pd2d3- Pd7d5- Pe2e3- Pc7c6- Ph2h3- Bc8d7- Pa2a3- Pe7e6- Pf2f3- Ng8f6- Pg2g4- Bf8d6- Pe3e4- Qd8c7- Pe4d5x Qc7g3+ Ke1d2- Qg3g5+ Kd2e2- Pc6d5x Bf1g2- Qg5a5- Nb1c3- Bd6c5- Pb2b4- Bc5b6- Bc1g5- Qa5c7- Qd1d2- Ph7h6- Bg5f6x Pg7f6x Nc3b5- Qc7b6- Ng1f3- Ke8g8- Nb5c7- Qb6c7x Ra1b1- Bd7a4- Pb4b5- Ba4d7- Pc2c4- Pd5c4x Pd3c4x Bd7b5x Pc4b5x Qc7b6- Rb1b6x Pa7b6x Pa3a4- Bb7f3$ Ke2f3x Nb8d7- Pa4a5- Pb6a5x Bg2a8x Rf8a8x Rh1a1- Pe6e5- Kf3e2- Ra8a1x Qd2d1- Nd7c5- Qd1a1x Nc5d3- Qa1a8+ Kg8g7- Qa8g2- Ra1a2+ Ke2d3x Nd3f4+ Kd3c2- Ra2f2+ Kc2b3- Rf2g2x Kb3a4- Rg2g1- Ka4b5x Rg1a1-","15","path obstruction","Pd2d3- Pd7d5- Pe2e3- Pc7c6- Ph2h3- Bc8d7- Pa2a3- Pe7e6- Pf2f3- Ng8f6- Pg2g4- Bf8d6- Pe3e4- Qd8c7- Pe4d5x Qc7g3+","75 6 32 33 76 6 37 35 76 6 40 41 76 6 29 28 76 6 64 65 76 4 30 37 76 6 8 9 76 6 45 44 76 6 48 49 76 5 62 52 76 6 56 58 76 4 54 36 76 6 41 42 76 2 38 29 76 6 42 35 81 2 29 57 77 1 39 32 76 2 57 59 77 1 32 40 76 6 28 35 81 4 47 56 76 2 59 11 76 5 15 25 76 4 36 27 76 6 16 18 76 4 27 20 76 4 23 59 76 2 11 29 76 2 31 32 76 6 69 68 76 4 59 52 81 6 61 52 81 5 25 19 76 2 29 20 76 5 55 49 76 1 46 62 76 5 19 29 76 2 20 29 81 3 7 15 76 4 37 10 76 6 18 19 76 4 10 37 76 6 24 26 76 6 35 26 81 6 33 26 81 4 37 19 81 6 26 19 81 2 29 20 76 3 15 20 81 6 13 20 81 6 9 10 76 4 21 49 79 1 40 49 81 5 22 37 76 6 10 11 76 6 20 11 81 4 56 14 81 3 54 14 81 3 63 7 76 6 44 43 76 1 49 40 76 3 14 7 81 2 32 31 76 5 37 27 76 2 31 7 81 5 27 33 76 2 7 14 77 1 62 61 76 2 14 56 76 3 7 8 77 1 40 33 81 5 33 50 77 1 33 24 76 3 8 48 77 1 24 17 76 3 48 56 81 1 17 10 76 3 56 55 76 1 10 19 81 3 55 7 76"
"Pc2c4- Pc7c5- Nb1c3- Pd7d6- Pd2d3- Nb8c6- Pe2e4- Ng8f6- Bc1d2- Pg7g6- Qd1c1- Bf8g7- Ph2h3- Ke8g8- Bf1e2- Pa7a6- Ke1c1- Ph7h6- Pf2f4- Pb7b5- Ng1f3- Bc8b7- Pg2g4- Pb5b4- Pf4f5- Pb4c3x Bd2c3x Nc6d4- Bc3d4x Pc5d4x Nf3d4x Pa6a5- Ph3h4- Ra8c8- Ph4h5- Pg6g5- Kc1b1- Bb7a6- Qc1g5x Ph6g5x Rd1c1- Pa5a4- Pa2a3- Pa4a3x Rc1a1- Pa4a3x Ra1a3x Nf6d7- Rh1a1- Nd7c5- Nd4c6- Qd8d7- Ra3a1- Ba6b7- Qg5e3- Nc5e6- Nc6a5- Ne6d4- Qe3g5+ Bg7h6- Ra1a7- Qd7b5- Qg5h6x Rf8b8- Qh6f6- Rb8b5- Qf6h8+ Kg8g7- Ra7b7x Rb5b7x Qh8d4x Ne5g4x Qd4g4x Pe7e5- Qg4c4- Qb5c6- Ph5h6+ Kg7h8- Ph6h7- Qc6c4x","16","path obstruction","Pc2c4- Pc7c5- Nb1c3- Pd7d6- Pd2d3- Nb8c6- Pe2e4- Ng8f6- Bc1d2- Pg7g6- Qd1c1- Bf8g7- Ph2h3- Ke8g8- Bf1e2- Pa7a6- Ke1c1-","75 6 24 26 76 6 29 27 76 5 15 25 76 6 37 36 76 6 32 33 76 5 22 28 76 6 40 42 76 5 62 52 76 4 23 32 76 6 61 60 76 2 31 23 76 4 54 61 76 6 64 65 76 1 46 62 76 4 47 40 76 6 13 12 76 1 39 23 76 6 69 68 76 6 48 50 76 6 21 19 76 5 55 49 76 4 30 21 76 6 56 58 76 6 19 18 76 6 50 51 76 6 18 25 81 4 32 25 81 5 28 34 76 4 25 34 81 6 27 34 81 5 49 34 81 6 12 11 76 6 65 66 76 3 14 30 76 6 66 67 76 6 60 59 76 1 23 15 76 4 21 12 76 2 23 59 81 6 68 59 81 3 31 23 76 6 11 10 76 6 8 9 76 6 10 9 81 3 23 7 76 6 10 9 81 3 7 9 81 5 52 37 76 3 63 7 76 5 37 27 76 5 34 28 76 2 38 37 76 3 9 7 76 4 12 21 76 2 59 41 76 5 27 44 76 5 28 11 76 5 44 34 76 2 41 59 77 4 61 68 76 3 7 13 76 2 37 19 76 2 59 68 81 3 54 22 76 2 68 52 76 3 22 19 76 2 52 70 77 1 62 61 76 3 13 21 81 3 19 21 81 2 70 34 81 5 43 58 81 2 34 58 81 6 45 43 76 2 58 26 76 2 19 28 76 6 67 68 77 1 61 70 76 6 68 69 76 2 28 26 81"
"Pe2e4- Pf7f5- Pg2g4- Pf5g4x Pe4e5- Ph7h5- Pf2f4- Pg4g3- Pf4f5- Ph5h4- Pe5e6- Pd7e6- Pf5f6- Pg7f6x Ph2h3- Pe6e5- Pf6f7+ Ke8f7x Pd2d4- Qd8e8- Ke1f2- Ph4h3x Qd1d3- Ph3d3x Bc1e3- Pd3c2x Be3h6- Qe8d8- Qf7f8$ Kf7f8x Bh6f8x Kf8e8- Kf2f3- Ke8f8- Bf1e2- Kf8f7- Pd4e5x Kf7g6- Rh1h3- Kg6h5- Rh3h5x Kh5g5- Rh5g5$ Kg5h4- Rg5g6- Kh4h3- Rg6e6- Kh3g2- Re6e7x Kg2h3- Re7e8- Kh3h2- Re8d8x Kh2g1x Rd8c8x Kg1g2- Rc8c7x Kg2h3- Rc7c6- Kh3g4- Rc6c5- Pb7b6- Rc5h5+ Kg4h5x Ra1a3- Kh5g5- Ra3b3- Kg5f6- Rb3b5- Kf6e5x Rb5e5$ Kf6e5x Pa2a4- Ke5e6- Pa4a5- Ke6d7- Pa5b6x Kd7c7- Pb6a7x Kc7b7-","11","piece logic","Pe2e4- Pf7f5- Pg2g4- Pf5g4x Pe4e5- Ph7h5- Pf2f4- Pg4g3- Pf4f5- Ph5h4- Pe5e6- Pd7e6-","75 6 40 42 76 6 53 51 76 6 56 58 76 6 51 58 81 6 42 43 76 6 69 67 76 6 48 50 76 6 58 57 76 6 50 51 76 6 67 66 76 6 43 44 76 6 37 44 76 6 51 52 76 6 61 52 81 6 64 65 76 6 44 43 76 6 52 53 77 1 46 53 81 6 32 34 76 2 38 46 76 1 39 48 76 6 66 65 81 2 31 33 76 6 65 33 81 4 23 41 76 6 33 24 81 4 41 68 76 2 46 38 76 2 53 54 79 1 53 54 81 4 68 54 81 1 54 46 76 1 48 49 76 1 46 54 76 4 47 40 76 1 54 53 76 6 34 43 81 1 53 60 76 3 63 65 76 1 60 67 76 3 65 67 81 1 67 59 76 3 67 59 79 1 59 66 76 3 59 60 76 1 66 65 76 3 60 44 76 1 65 56 76 3 44 45 81 1 56 65 76 3 45 46 76 1 65 64 76 3 46 38 81 1 64 55 81 3 38 30 81 1 55 56 76 3 30 29 81 1 56 65 76 3 29 28 76 1 65 58 76 3 28 27 76 6 21 20 76 3 27 67 77 1 58 67 81 3 7 9 76 1 67 59 76 3 9 17 76 1 59 52 76 3 17 19 76 1 52 43 81 3 19 43 79 1 52 43 81 6 8 10 76 1 43 44 76 6 10 11 76 1 44 37 76 6 11 20 81 1 37 29 76 6 20 13 81 1 29 21 76"
"Ph2h3- Pd7d6- Pg2g4- Pf7f6- Pf2f3- Pe7e5- Bf1g2- Pc7c6- Pe2e4- Pd6d5- Pe4d5x Pc6d5x Ng1e2- Pd5d4- Ke1g1- Bf8d6- Ne2d4x Pe5d4x Nb1c3- Ng8e7- Pg4g5- Pf6f5- Pg5h6x Qd8b6- Ph6g7x Rh8f8- Nc3e4- Bd6e5- Ne4g5- Qb6c6- Pf3f4- Be5g7x Pf4f5x Rf8f5x Pf5f6- Rf5f6x Qd1h5+ Ke8d7- Qh5h7x Qc6c4- Bg2d5- Ne7d5x Pd2d3- Qc4f1$ Kg1f1x Bg7f6x Bc1g5- Bf6g5x Qh7g8- Rf6g6- Ra1e1- Rg6g5x Re1e8- Rg5g1+ Kf1e2- Bc8e6- Re8b8x Ra8b8x Rb8b7$ Kd7c6- Rb7b8- Rg1g2+ Ke2d1- Rg2g1+ Kd1d2- Rg1g2+ Kd2e1- Rg8g1+ Ke1d2- Rg2c2$ Kd2d1- Rc2b2x Rb8b2x Rh2h3x Rb2c2- Rh3h2- Rc2c1+ Kc6d6- Rc1d1- Rh2c2+","22","pseudolegal","Ph2h3- Pd7d6- Pg2g4- Pf7f6- Pf2f3- Pe7e5- Bf1g2- Pc7c6- Pe2e4- Pd6d5- Pe4d5x Pc6d5x Ng1e2- Pd5d4- Ke1g1- Bf8d6- Ne2d4x Pe5d4x Nb1c3- Ng8e7- Pg4g5- Pf6f5- Pg5h6x","75 6 64 65 76 6 37 36 76 6 56 58 76 6 53 52 76 6 48 49 76 6 45 43 76 4 47 56 76 6 29 28 76 6 40 42 76 6 36 35 76 6 42 35 81 6 28 35 81 5 55 40 76 6 35 34 76 1 39 55 76 4 54 36 76 5 40 34 81 6 43 34 81 5 15 25 76 5 62 45 76 6 58 59 76 6 52 51 76 6 59 68 81 2 38 20 76 6 68 61 81 3 70 54 76 5 25 42 76 4 36 43 76 5 42 59 76 2 20 28 76 6 49 50 76 4 43 61 81 6 50 51 81 3 54 51 81 6 51 52 76 3 51 52 81 2 31 67 77 1 46 37 76 2 67 69 81 2 28 26 76 4 56 35 76 5 45 35 81 6 32 33 76 2 26 47 79 1 55 47 81 4 61 52 81 4 23 59 76 4 52 59 81 2 69 62 76 3 52 60 76 3 7 39 76 3 60 59 81 3 39 46 76 3 59 55 77 1 47 40 76 4 30 44 76 3 46 22 81 3 14 22 81 3 22 21 79 1 37 28 76 3 21 22 76 3 55 56 77 1 40 31 76 3 56 55 77 1 31 32 76 3 55 56 77 1 32 39 76 3 62 55 77 1 39 32 76 3 56 24 79 1 32 31 76 3 24 16 81 3 22 16 81 3 64 65 81 3 16 24 76 3 65 64 76 3 24 23 77 1 28 36 76 3 23 31 76 3 64 24 77"
"Pc2c4- Ng8f6- Pg2g3- Pd7d6- Pf2f4- Bc8f5- Pe2e3- Pe7e6- Pd2d3- Pc7c6- Ng1f3- Pg7g6- Nf3h4- Bf5g4- Nh4f3- Nb8d7- Bf1g2- Pd6d5- Pc4d5x Pc6d5x Nb1c3- Bf8g7- Nc3a4- Ke8g8- Bc1d2- Qd8b6- Nf3d4- Nd7c5- Bd2c3- Qb6b4- Qd1c2- Nf6d7- Na4c5x Qb4c5x Ph2h3- Bg4f5- Ke1g1- Nd7e5- Pg3g4- Ne5g4x Ph3g4x Bf5g4x Rf1f4- Pf7f5- Ra1f1- Pf5f4x Pe3f4x Bg7d4$ Bc3d4x Qc5d4$ Kg1h1- Qd4f4x Pb2b3- Qf4g3- Rf1g1- Qg3h3+ Kh1h2- Qh3h4+ Kh2h1- Ra8c8- Qc2f2- Qh4f2x Qf2f2- Qf2g1$ Kh1g1x Rf8f7- Pd3d4- Rf7f2- Pa2a4- Pe6e5- Pb3b4- Pe5d4x Pa4a5- Rf2e2- Bg2f3- Re2e3- Kg1f2- Rc8e8- Pa5a6- Pb7b6-","42","path obstruction","Pc2c4- Ng8f6- Pg2g3- Pd7d6- Pf2f4- Bc8f5- Pe2e3- Pe7e6- Pd2d3- Pc7c6- Ng1f3- Pg7g6- Nf3h4- Bf5g4- Nh4f3- Nb8d7- Bf1g2- Pd6d5- Pc4d5x Pc6d5x Nb1c3- Bf8g7- Nc3a4- Ke8g8- Bc1d2- Qd8b6- Nf3d4- Nd7c5- Bd2c3- Qb6b4- Qd1c2- Nf6d7- Na4c5x Qb4c5x Ph2h3- Bg4f5- Ke1g1- Nd7e5- Pg3g4- Ne5g4x Ph3g4x Bf5g4x Rf1f4-","75 6 24 26 76 5 62 52 76 6 56 57 76 6 37 36 76 6 48 50 76 4 30 51 76 6 40 41 76 6 45 44 76 6 32 33 76 6 29 28 76 5 55 49 76 6 61 60 76 5 49 66 76 4 51 58 76 5 66 49 76 5 22 37 76 4 47 56 76 6 36 35 76 6 26 35 81 6 28 35 81 5 15 25 76 4 54 61 76 5 25 10 76 1 46 62 76 4 23 32 76 2 38 20 76 5 49 34 76 5 37 27 76 4 32 25 76 2 20 18 76 2 31 24 76 5 52 37 76 5 10 27 81 2 18 27 81 6 64 65 76 4 58 51 76 1 39 55 76 5 37 43 76 6 57 58 76 5 43 58 81 6 65 58 81 4 51 58 81 3 47 50 76 6 53 51 76 3 7 47 76 6 51 50 81 6 41 50 81 4 61 34 79 4 25 34 81 2 27 34 79 1 55 63 76 2 34 50 81 6 16 17 76 2 50 57 76 3 47 55 76 2 57 65 77 1 63 64 76 2 65 66 77 1 64 63 76 3 14 30 76 2 24 48 76 2 66 48 81 2 48 48 76 2 48 55 79 1 63 55 81 3 54 53 76 6 33 34 76 3 53 48 76 6 8 10 76 6 44 43 76 6 17 18 76 6 43 34 81 6 10 11 76 3 48 40 76 4 56 49 76 3 40 41 76 1 55 48 76 3 30 46 76 6 11 12 76 6 21 20 76"
"Pd2d3- Pc7c5- Pe2e3- Pg7g6- Ng1f3- Bf8g7- Pc2c3- Pe7e6- Pg2g3- Ng8e7- Bf1g2- Pd7d5- Ke1g1- Pb7b6- Qd1c2- Bc8b7- Nf3e5- Nb8d7- Pd3d4- Pc5c4- Ne5c4x Pd5c4x Bg2b7x Ra8c8- Bb7g2- Rc8c7- Nb1d2- Nd7e5- Pf2f4- Ne5g4- Bg2h3- Ph7h5- Bh3g4x Ph5g4x Ph2h3- Qd8d5- Qc2g6$ Ke8d7- Nd2e4- Rh8g8- Ne4c5+ Ne7f5- Qg6f5$ Pe6f5x Rf1d1- Qd5d1$ Ra1d1$ Kd7c8- Rd1d8+ Kc8c7- Nc5a6+ Kc7b7- Rd8g8x Rc7b7- Pg3g4x Rb7b2x Pa2a3- Rb2b1- Rg8b8+ Kb7a6x Rb8b2- Ka6a5- Pe3e4- Rb1b2x Bc1b2x Pf5e4x Pf4f5- Pe4e3- Pf5f6- Bg7f6x Ph3h4- Ka5a4- Kg1g2- Bf6d4x Kg2f3- Ka4b5- Pg4g5- Kb5c5- Ph4h5- Pf7f6-","36","pseudolegal","Pd2d3- Pc7c5- Pe2e3- Pg7g6- Ng1f3- Bf8g7- Pc2c3- Pe7e6- Pg2g3- Ng8e7- Bf1g2- Pd7d5- Ke1g1- Pb7b6- Qd1c2- Bc8b7- Nf3e5- Nb8d7- Pd3d4- Pc5c4- Ne5c4x Pd5c4x Bg2b7x Ra8c8- Bb7g2- Rc8c7- Nb1d2- Nd7e5- Pf2f4- Ne5g4- Bg2h3- Ph7h5- Bh3g4x Ph5g4x Ph2h3- Qd8d5- Qc2g6$","75 6 32 33 76 6 29 27 76 6 40 41 76 6 61 60 76 5 55 49 76 4 54 61 76 6 24 25 76 6 45 44 76 6 56 57 76 5 62 45 76 4 47 56 76 6 37 35 76 1 39 55 76 6 21 20 76 2 31 24 76 4 30 21 76 5 49 43 76 5 22 37 76 6 33 34 76 6 27 26 76 5 43 26 81 6 35 26 81 4 56 21 81 3 14 30 76 4 21 56 76 3 30 29 76 5 15 32 76 5 37 43 76 6 48 50 76 5 43 58 76 4 56 65 76 6 69 67 76 4 65 58 81 6 67 58 81 6 64 65 76 2 38 35 76 2 24 60 79 1 46 37 76 5 32 42 76 3 70 62 76 5 42 27 77 5 45 51 76 2 60 51 79 6 44 51 81 3 47 31 76 2 35 31 79 3 7 31 79 1 37 30 76 3 31 38 77 1 30 29 76 5 27 12 77 1 29 21 76 3 38 62 81 3 29 21 76 6 57 58 81 3 21 16 81 6 8 9 76 3 16 15 76 3 62 22 77 1 21 12 81 3 22 16 76 1 12 11 76 6 41 42 76 3 15 16 81 4 23 16 81 6 51 42 81 6 50 51 76 6 42 41 76 6 51 52 76 4 61 52 81 6 65 66 76 1 11 10 76 1 55 56 76 4 52 34 81 1 56 49 76 1 10 19 76 6 58 59 76 1 19 27 76 6 66 67 76 6 53 52 76"
"Pe2e4- Pd7d5- Qd1f3- Qd8d7- Bf1b5- Pe7e6- Bb5d7$ Nb8d7x Pe4d5x Pe6d5x Pc2c4- Nd7c5- Pa2a4- Nc5a4x Ra1a4x Pc7c6- Ra4a1- Bf8b4- Pc4d5x Pc6d5x Pd2d4- Ng8e7- Bc1f4- Bb4c3+- Bc3x Pg7g5- Bf4e5- Ne7g6- Ke1d2- Rh8e8- Be5g3- Ph7h5- Bg3h2- Ng6f4- Bh2f4x Pg5f4x Pg2g3- Pf4g3x Pf2g3x Re8e1- Rh1e1$ Ke8d7- Bc3d4- Pb7b5- Re1f1- Pb5b4- Pb2b3- Pf7f5- Pf3f4- Pb4b3x Rf1f5x Pb3b2- Rf5f2- Qb2b1x Rf2f1- Qb1e4- Pg3g4- Ra8f8- Rf1f8x Kd7e8- Rf8h8+ Ke8f7- Rh8h7+ Kf7g6- Rh7a7x Ph5g4x Ra7a6+ Kg6h5- Ra6e2- Qe4b1- Re2a2- Qb1d1+ Kd2d1x Rd6a6- Ra2a6x Kh5g4x Ra6a8- Kg4f3- Ra8h8- Kf3e4-","20","pseudolegal","Pe2e4- Pd7d5- Qd1f3- Qd8d7- Bf1b5- Pe7e6- Bb5d7$ Nb8d7x Pe4d5x Pe6d5x Pc2c4- Nd7c5- Pa2a4- Nc5a4x Ra1a4x Pc7c6- Ra4a1- Bf8b4- Pc4d5x Pc6d5x Pd2d4-","75 6 40 42 76 6 37 35 76 2 31 49 76 2 38 37 76 4 47 19 76 6 45 44 76 4 19 37 79 5 22 37 81 6 42 35 81 6 44 35 81 6 24 26 76 5 37 27 76 6 8 10 76 5 27 10 81 3 7 10 81 6 29 28 76 3 10 7 76 4 54 18 76 6 26 35 81 6 28 35 81 6 32 34 76 5 62 45 76 4 23 50 76 4 18 25 77 76 4 25 81 6 61 59 76 4 50 43 76 5 45 60 76 1 39 32 76 3 70 46 76 4 43 57 76 6 69 67 76 4 57 64 76 5 60 50 76 4 64 50 81 6 59 50 81 6 56 57 76 6 50 57 81 6 48 57 81 3 46 39 76 3 63 39 79 1 46 37 76 4 25 34 76 6 21 19 76 3 39 47 76 6 19 18 76 6 16 17 76 6 53 51 76 6 49 50 76 6 18 17 81 3 47 51 81 6 17 16 76 3 51 48 76 2 16 15 81 3 48 47 76 2 15 42 76 6 57 58 76 3 14 54 76 3 47 54 81 1 37 46 76 3 54 70 77 1 46 53 76 3 70 69 77 1 53 60 76 3 69 13 81 6 67 58 81 3 13 12 77 1 60 67 76 3 12 40 76 2 42 15 76 3 40 8 76 2 15 31 77 1 32 31 81 3 36 12 76 3 8 12 81 1 67 58 81 3 12 14 76 1 58 49 76 3 14 70 76 1 49 42 76"
"Pb2b4- Pa7a6- Pc2c3- Pc7c6- Pa2a3- Pg7g6- Nb1a3- Bf8g7- Na3c2- Pe7e6- Pe2e3- Qd8g5- Bc1b2- Bg7b2x Ra1b1- Bb2a3- Rb1b7x Ba3b4x Ng1f3- Bb4c3x Qd1b3- Bc3a5- Pg2g3- Ng8e7- Bf1e2- Bc8b7x Ke1g1- Ba5c7- Nf3h2x Ne7d5- Pf2f3- Pc6c5- Be2d3- Nd5e3x Rf1e1- Ne3g2- Kg1g2x Qg5f6- Pf3f4- Qf6f5- Nh2f3- Qf5d3x Re1d1- Qd3e4+ Nf3e4x Pc5c4- Ne4c5- Nb8c6- Nc5b7x Nc6e7- Nb7c5- Ke8g8- Nc5e4- Ne7d5- Ne4g5- Ra8d8- Rd1e1- Rd8e8- Re1e8x Rf8e8x Ng5f7x Re8f8- Nf7d6- Rf8e8- Nd6e8x Nd5b6- Pg3g4- Nb6d5- Ne8c7x Nd5c7x Rb1c1- Nc7d5- Rc1c2- Nd5f4$ Kg2g3- Nf4e2+ Kg3f3- Ne2d4+ Kf3e3- Nd4c2$","6","path obstruction","Pb2b4- Pa7a6- Pc2c3- Pc7c6- Pa2a3- Pg7g6- Nb1a3-","75 6 16 18 76 6 13 12 76 6 24 25 76 6 29 28 76 6 8 9 76 6 61 60 76 5 15 9 76 4 54 61 76 5 9 24 76 6 45 44 76 6 40 41 76 2 38 59 76 4 23 16 76 4 61 16 81 3 7 15 76 4 16 9 76 3 15 21 81 4 9 18 81 5 55 49 76 4 18 25 81 2 31 17 76 4 25 11 76 6 56 57 76 5 62 45 76 4 47 40 76 4 30 21 81 1 39 55 76 4 11 29 76 5 49 64 81 5 45 35 76 6 48 49 76 6 28 27 76 4 40 33 76 5 35 41 81 3 47 39 76 5 41 56 76 1 55 56 81 2 59 52 76 6 49 50 76 2 52 51 76 5 64 49 76 2 51 33 81 3 39 31 76 2 33 42 77 5 49 42 81 6 27 26 76 5 42 27 76 5 22 28 76 5 27 21 81 5 28 45 76 5 21 27 76 1 46 62 76 5 27 42 76 5 45 35 76 5 42 59 76 3 14 38 76 3 31 39 76 3 38 46 76 3 39 46 81 3 54 46 81 5 59 53 81 3 46 54 76 5 53 36 76 3 54 46 76 5 36 46 81 5 35 20 76 6 57 58 76 5 20 35 76 5 46 29 81 5 35 29 81 3 15 23 76 5 29 35 76 3 23 24 76 5 35 50 79 1 56 57 76 5 50 40 77 1 57 49 76 5 40 34 77 1 49 41 76 5 34 24 79"
"Pc2c4- Nb8c6- Pg2g3- Pf7f6- Bf1g2- Pe7e5- Nb1c3- Bf8d6- Pe2e4- Ng8e7- Ng1e2- Pg7g6- Ke1g1- Ke8g8- Ph2h3- Pg6g5- Pd2d3- Nc6e5- Bc1e3- Pb7b6- Qd1d2- Bc8b7- Pf2f4- Pg5f4x Be3f4x Pe5f4x Nc3d5- Bb7d5x Pe4d5x Ne7f5- Bg2e4- Rf8f7- Pg3f4x Bd6f4x Ne2f4x Nf5d4- Nf4h5- Qd8e7- Be4g6- Qe7e5- Bg6f7$ Ra8f8- Qd2f2- Nd4f3+ Kg1g2- Nf3g5- Bf7c4- Ng5e4- Bc4f1- Pc7c6- Rf1e1- Ne4c5- Re1e5x Pf6e5x Bf1g2- Rf7g7- Qf2e3- Pc6d5x Pc4d5x Rg7g2$ Qe3g2x Qe5b2x Ra1e1- Qb2d4- Qg2e4- Qd4c5- Qe4e8+ Qc5f8- Qe8e4- Qf8f7- Qe4g4- Pd7d6- Qg4h4- Kg8g7- Pa2a3- Bb7c8- Ph3h4- Bc8b7- Qh4g5+ Kg7f7-","17","path obstruction","Pc2c4- Nb8c6- Pg2g3- Pf7f6- Bf1g2- Pe7e5- Nb1c3- Bf8d6- Pe2e4- Ng8e7- Ng1e2- Pg7g6- Ke1g1- Ke8g8- Ph2h3- Pg6g5- Pd2d3- Nc6e5-","75 6 24 26 76 5 22 28 76 6 56 57 76 6 53 52 76 4 47 56 76 6 45 43 76 5 15 25 76 4 54 36 76 6 40 42 76 5 62 45 76 5 55 40 76 6 61 60 76 1 39 55 76 1 46 62 76 6 64 65 76 6 60 59 76 6 32 33 76 5 28 43 76 4 23 41 76 6 21 20 76 2 31 32 76 4 30 21 76 6 48 50 76 6 59 50 81 4 41 50 81 6 43 50 81 5 25 35 76 4 21 35 81 6 42 35 81 5 45 51 76 4 56 42 76 3 54 53 76 6 57 50 81 4 36 50 81 5 40 50 81 5 51 34 76 5 50 67 76 2 38 45 76 4 42 60 76 2 45 43 76 4 60 53 79 3 14 54 76 2 32 48 76 5 34 49 77 1 55 56 76 5 49 59 76 4 53 26 76 5 59 42 76 4 26 47 76 6 29 28 76 3 47 39 76 5 42 27 76 3 39 43 81 6 52 43 81 4 47 56 76 3 53 61 76 2 48 41 76 6 28 35 81 6 26 35 81 3 61 56 79 2 41 56 81 2 43 16 81 3 7 39 76 2 16 34 76 2 56 42 76 2 34 27 76 2 42 46 77 2 27 54 76 2 46 42 76 2 54 53 76 2 42 58 76 6 37 36 76 2 58 66 76 1 62 61 76 6 8 9 76 4 21 30 76 6 65 66 76 4 30 21 76 2 66 59 77 1 61 53 76"
