"Position ID","Predicted Move","Correctness"
"0","Pe2e3","true"
"1","Pe7e5","true"
"2","Pd2d3","true"
"3","Pd2d4","true"
"4","Pd6e5","true"
"5","Ke8e7","true"
"6","Pe7e5","true"
"7","Ph2h4","true"
"8","Pe2e3","true"
"9","Pd7d5","true"
"10","Ra8b8","true"
"11","Kc5c4","false"
"12","Pb5b6","true"
"13","Re3g3","false"
"14","Rd7c7","true"
"15","Nc7e6","true"
"16","Qb6d6","false"
"17","Re8e6","true"
"18","Ke1d1","false"
"19","Rc3c4","true"
"20","Ne4d2","false"
"21","Ke8f7","true"
"22","Qd7d7","false"
"23","Kg8h7","false"
"24","Kf1g2","true"
"25","Ke8f7","false"
"26","Ke1d1","true"
"27","Qb4b2","false"
"28","Qh5b5","false"
"29","Pd7d5","false"
"30","Pd2d4","false"
"31","Rh1e1","false"
"32","Kg3f2","true"
"33","Qb6b2","false"
"34","Be2d1","false"
"35","Ke1f1","true"
"36","Ph3h4","false"
"37","Pg6g5","false"
"38","Bd5f3","false"
"39","Bf1e2","true"
"40","Qc7e5","true"
"41","Pf7f6","false"
"42","Qd5f5","false"
"43","Qd7h3","false"
"44","Pe5f6","false"
"45","Ke8f8","false"
"46","Ra8g8","false"
"47","Ph2h4","true"
"48","Ph5h4","false"
"49","Ra7a8","true"
"50","Ph2h3","true"
"51","Pb5b4","false"
"52","Pg4g5","false"
"53","Re8g8","false"
"54","Pg6g5","true"
"55","Rf8f4","false"
"56","Ph2h3","false"
"57","Kh8g8","false"
"58","Pc7c5","false"
"59","Ng1f3","true"
"60","Pc6c5","true"
"61","Nd7c5","false"
"62","Ne2f4","true"
"63","Qd6c5","false"
"64","Kh8h7","false"
"65","Pd6d5","true"
"66","Nf6e4","true"
