"Position ID","Predicted Move","Correctness"
"0","Qd2g5x","true"
"1","Pd5c4x","true"
"2","Bc1a3x","true"
"3","Pd2d3-","true"
"4","Pd6e5x","true"
"5","Nf6h7x","true"
"6","Pf5g4x","true"
"7","Ph2h3-","true"
"8","Pb2b4-","true"
"9","Pd7d6-","true"
"10","Ra8f8-","true"
"11","Bb7a6-","true"
"12","Rf1d1+","false"
"13","Re3e1-","true"
"14","Rd7d8-","true"
"15","Nc7e8-","false"
"16","Kb3c3d4","false"
"17","Bg4f3x","true"
"18","Bb5c4-","true"
"19","Rc3c2x","true"
"20","Kd7c7-","true"
"21","Ke8f7-","true"
"22","Bc8d7x","true"
"23","Kg8h8-","true"
"24","Kf1e2-","true"
"25","Ke8d7-","true"
"26","Ke1e2-","true"
"27","Kg8f8-","true"
"28","Ke8e7-","true"
"29","Nh6f7-","true"
"30","Pe3d4x","true"
"31","Kc1b1-","false"
"32","Kg3h3-","false"
"33","Ke8e7x","true"
"34","Kc1b2-","false"
"35","Ba3c5$","false"
"36","Kc1b1-","true"
"37","Kg8h8-","true"
"38","Nf6d5x","false"
"39","Bf1h3-","true"
"40","Nc3d1x","true"
"41","Nh6g4x","true"
"42","Rf8d8-","false"
"43","Qd7e7x","true"
"44","Ne5g4-","true"
"45","Nf6g8x","false"
"46","Qd8d7-","false"
"47","Qf7f8+","false"
"48","Qd2d1-","true"
"49","Pg7g5-","true"
"50","Bf1g2-","true"
"51","Pb5c4x","true"
"52","Pf2f3-","true"
"53","Pb2b4-","true"
"54","Pg6g5-","true"
"55","Bg5f6x","true"
"56","Kg4f3-","false"
"57","Kh8g8-","false"
"58","Ng5f3x","true"
"59","Bf1c4-","true"
"60","Pf6f5-","true"
"61","Rd1d6$","true"
"62","Be3b6x","true"
"63","Bd2c3-","true"
"64","K","false"
"65","Nc6d4x","false"
"66","Pb7b5-","true"
