"Position ID","Predicted Move","Correctness"
"0","Pe2e4-","true"
"1","Pd5c4x","true"
"2","Pc2c3-","true"
"3","Pd2d3-","true"
"4","Pd6e5x","true"
"5","Pd7d5-","true"
"6","Pe7e6-","true"
"7","Pc2c3-","true"
"8","Pb2b4-","true"
"9","Bc5b6-","false"
"10","Rc4c3-","false"
"11","Pc6c5-","false"
"12","Pf4f5-","true"
"13","Re3f3-","true"
"14","Rd7c7-","true"
"15","Nc7e6-","true"
"16","Kb4b3b4","false"
"17","Be5d6x","true"
"18","Bb5d3-","true"
"19","Rc3c4x","false"
"20","Kd7c7-","true"
"21","Ke8f8-","false"
"22","Ke8d7x","true"
"23","Kg8h7x","false"
"24","Kf1e1-","false"
"25","Ke8d7-","true"
"26","Ke1e2-","true"
"27","Kg8h7-","true"
"28","Ke8e7-","true"
"29","Pe7e6-","false"
"30","Pb2b4-","true"
"31","Kc1b1-","false"
"32","Kg3f2x","true"
"33","Ke8e7x","true"
"34","Kc1c2x","true"
"35","Ba3b2-","true"
"36","Kc1b1-","true"
"37","Kg8g7-","false"
"38","Nf6d5x","false"
"39","Bf1h3-","true"
"40","Qc7a5-","true"
"41","Nh6g4x","true"
"42","Qd5d4+","false"
"43","Ng8f6-","true"
"44","Pc2c3-","true"
"45","Rf8e8-","false"
"46","Rh8g8x","false"
"47","Ph2h4+","true"
"48","Ka8b8-","false"
"49","Pf5f4x","false"
"50","Bf1g2-","true"
"51","Pb5b4-","false"
"52","Pf2f4-","true"
"53","Pc3c4-","false"
"54","Ph4h3-","true"
"55","Pf5f4x","false"
"56","Kg4f5x","false"
"57","Kh8g8-","false"
"58","Pd6d5-","true"
"59","Ng1f3-","true"
"60","Pf6f5-","true"
"61","Pf3f4-","true"
"62","Pb2b4-","true"
"63","Ng1f3-","true"
"64","Be3d4-","false"
"65","Nc6d4x","false"
"66","Qd8e7-","true"
