"Position ID","Predicted Move","Correct Moves","Correctness","Piece","Tag"
"0","d2,f2,g4,c7,g8,c4,b2,c2,a3,g7,h2,e7,c5,e6,h3,e8,b4,c8,f4,d4,a1,f8,h8,g2,g1,a2,f5","d2","true","K","King"
"1","c2,e3,c3,c1,e2,d3,d1,e1,f1,b1,b3,d2,f3,c5,a2,d7,f7,d8,f2,g7,B,g2,a1,K,a5,,a4","e3,d3,c3,e2,c2,d1,c1","true","Kd2","King"
"2","e1,d8,d1,e8,f1,h1,d6,d7,b1,d5,f8,e5,f7,b4,e6,a1,f5,e7,e3,d3,e4,h6,1/2-1/2,g1,,Q,c1","e1","true","K","King"
"3","g1,d1,f1,e2,c1,d2,f2,b1,B,K,c3,e4,b2,h1,g2,N,P,Q,e8,h2,c4,R,f8,g7,e7,c5,a1","e2,d2,f1,d1,g1","false","Ke1","King"
"4","d1,a1,d8,c5,b1,e1,f1,g1,c2,c8,c4,c1,e3,f5,d3,b4,d7,d2,h4,a5,e6,1-0,e4,,g8,f4,e5","d1","true","K","King"
"5","e1,c1,d2,c2,e2,b1,b2,b3,a1,d4,g1,d3,a4,g2,c3,d7,d5,a2,f1,d8,f2,b7,d1,b5,B,a3,h2","d2,e1,c1","true","Kd1","King"
"6","e8,d5,b8,e5,d3,g8,g5,e1,d4,h7,b6,d1,c2,b5,a5,b4,Q,P,f7,c6,a7,1-0,e6,f5,e7,e4,N","e8","true","K","KingAsBlack"
"7","d7,f7,e7,b7,c5,h7,g7,e5,f8,c7,P,e8,f6,g8,Q,f5,e1,b5,,K,e4,b8,a7,N,d8,1/2-1/2,h5","d7","true","Ke8","KingAsBlack"
"8","e8,d3,b8,c4,g8,b5,d8,b6,d1,f1,d4,d7,c6,e1,c2,f8,a6,c8,e6,b4,1/2-1/2,a5,d5,f2,1-0,Q,","e8","true","K","KingAsBlack"
"9","g8,c8,f8,e7,d8,d7,f7,b8,h8,e1,c6,g6,g1,f6,c1,c7,c5,a4,b5,h5,e8,B,e2,e4,N,a7,d5","d8","false","Ke8","KingAsBlack"
"10","e1,d2,e8,d3,h3,f2,h4,e2,a3,g3,c2,b2,a2,e3,f4,e5,c3,h2,d4,h6,,b1,a1,b4,f6,d7","e1","true","K","KingUncommonOpening"
"11","d1,d2,e1,c1,f1,e3,g1,e2,e4,b1,h6,e8,N,K,f4,a3,c2,a5,Q,c3,1/2-1/2,P,g5,b3,f2,,b2","d1","true","Ke1","KingUncommonOpening"
"12","e1,b1,g1,b3,e2,e4,d1,0-1,c1,b4,d8,d2,g8,a2,d7,f2,d4,e8,a1,1-0,,1/2-1/2,e6,,f8,Q","e1","true","K","KingUncommonOpening"
"13","f1,g1,d2,d1,e2,e8,0-1,e7,f2,g7,a3,h2,h4,e6,1-0,a1,c5,b2,,g2,K,h1,f6,f3,c3,g3,R","f1","true","Ke1","KingUncommonOpening"
"14","e1,d1,g1,d8,b1,f1,f5,h1,c1,1/2-1/2,0-1,f8,f6,e4,c5,b5,e8,b4,a1,h4,b8,c8,d7,,Q,d2","e1","true","K","KingUncommonOpening"
"15","e2,d1,f1,h2,d2,f2,c3,1-0,0-1,g1,a3,K,g3,Q,f3,g4,e4,d7,a4,e7,R,e5,c4,b5,B,d3,e8","e2","true","Ke1","KingUncommonOpening"
"16","e1,f1,g1,e3,b1,g4,b4,d1,c3,d2,a2,e4,f7,h4,f5,f8,a1,f2,,h1,0-1,1/2-1/2,B,d8,a3,Q,e8","e1","true","K","KingUncommonOpening"
"17","e2,d1,f2,f1,d2,a3,c3,h4,b4,g2,d3,a2,e1,e6,a5,b3,a6,g3,c1,f3,b2,0-1,h2,e4,b1,c5,c2","e2","true","Ke1","KingUncommonOpening"
"18","c1,c4,f1,c3,g1,c2,c8,f4,h6,d4,g7,b3,a1,d2,f5,c5,b7,b5,a5,g6,b1,d3,h5,f3,h7,d6,g2","c1","true","K","KingLategame"
"19","d2,b1,d1,c2,b2,c4,d3,c3,e2,e3,c6,b3,a3,a1,c5,g1,c8,c7,b4,e1,g5,e5,f2,P,K,e4,e8","d2,c2,d1,b1","true","Kc1","KingLategame"
"20","h1,h7,h8,a1,f1,a7,h2,c6,h4,h5,a4,g6,b4,f8,c8,h3,e5,,1-0,b1,d6,g8,a8,e4,a2,0-1","h1","true","K","KingLategame"
"21","g2,g1,h2,g3,h1,h3,f3,h8,e4,h7,f2,e1,b1,c1,b7,b2,h5,d2,h4,K,a1,e2,g4,f1,P,h6,c2","g2,g1","true","Kh1","KingLategame"
"22","e2,f3,b7,d7,e8,f2,g2,g3,f4,g4,e6,f5,c4,d4,g1,g8,f7,d2,c7,c2,h3,a7,e4,g7,f6,c8,a8","e2","true","K","KingLategame"
"23","f3,d3,d2,f1,f2,e1,d1,e3,b5,g2,h5,h2,c4,c2,c5,a6,b2,g4,e2,e4,e5,h1,e8,e7,h3,g1,b3","d2,f1,e1,d1","false","Ke2","KingLategame"
"24","g1,a1,b1,a2,d1,h1,b5,d2,b2,a7,d4,a4,a8,0-1,g8,c2,h2,d6,c4,c5,e1,g7,f1,,B,1-0,g3","g1","true","K","KingOneLegalMove"
"25","h1,g2,h2,f1,f2,h3,a7,P,g1,f3,N,a1,K,g3,B,g4,a8,c7,0-1,Q,R,c1,1-0,d4,c8,e1,1/2-1/2","h1","true","Kg1","KingOneLegalMove"
"26","b5,c7,b3,c2,b6,c4,b4,d4,e4,d2,a7,b7,h5,b8,f6,c1,c5,b2,h7,c6,a5,a8,g3,N,P,d5,B","b5","true","K","KingChecks"
"27","c4,b4,b6,a4,a6,c6,c5,a5,d5,d3,c3,d4,e2,e5,d7,a3,d6,e8,Q,b3,b2,b8,c8,a2,c2,h4,","b6,a4","false","Kb5","KingChecks"
"28","f1,f3,a1,c8,d8,b1,d1,f8,c1,a8,b3,b4,1/2-1/2,f5,e3,0-1,e4,h1,a6,c2,f7,,1-0,a7,e1,g8","f1","true","K","KingChecks"
"29","g1,e2,e1,g2,f2,b5,h1,c4,d3,b7,g3,d2,d8,f1,e7,c1,f4,f8,f7,c2,h3,c7,d7,a1,f6,b8,d1","g1,e1","false","Kf1","KingChecks"
"30","c1,b3,a1,c2,h6,f3,f1,c3,a7,1/2-1/2,0-1,Q,e1,a2,g7,a5,b6,,e2,h5,d1,B,f5,f6,b4,K","c1","true","K","KingChecks"
"31","b1,d1,c2,b2,a1,d2,c8,a2,a3,c4,e1,d3,g1,c7,h6,g5,h8,h1,N,g8,K,e4,P,c6,c1,d5,1/2-1/2","c2,b1","false","Kc1","KingChecks"
"32","f1,a8,c1,a1,b1,a7,b7,f8,c8,1/2-1/2,d1,b4,g8,h1,d8,0-1,a6,f7,f3,a5,g1,e1,c5,1-0,e8,e6","f1","true","K","KingChecks"
"33","e2,e1,g1,g2,f2,d3,h1,b5,h3,c4,d2,c1,f1,d1,Q,f4,b7,d8,f8,K,f3,g3,e7,c2,P,d7,h2","e1","false","Kf1","KingChecks"
"34","f1,f8,b1,h1,c8,g1,b4,b3,b5,g8,e1,c5,0-1,c1,a6,1/2-1/2,a7,a8,d8,b7,g6,c4,c2,f2,,c7","f1","true","K","KingChecks"
"35","g2,g1,e2,e1,c4,h1,d1,h3,f2,d3,a6,c1,Q,f3,f1,b1,b5,f8,b6,b7,c3,a1,g3,a5,,N,f4","g2","true","Kf1","KingChecks"
"36","e1,e3,b3,c3,g1,b1,d3,c1,a2,d2,b4,c5,a3,a1,P,g5,e8,e5,,d8,f2,h2,Q,d7,B,0-1","e1","true","K","KingCastle"
"37","d1,c1,e2,d2,g1,c2,g3,b1,f1,e4,a1,e1,e8,f2,N,h4,a2,e7,K,P,B,f3,h3,Q,R,b4,e6","d1,c1","true","Ke1","KingCastle"
"38","e1,e3,b1,e2,b4,d3,f3,f6,e8,b7,a5,d8,d7,f5,B,Q,a1,f7,e5,d6,a4,c5,g8,,0-1,a6","e1","true","K","KingCastle"
"39","g1,f1,d2,e2,d1,f2,c1,c3,b1,c2,B,b5,h1,d5,g2,a3,0-1,e1,a1,K,a2,R,e4,d3,1-0,h2,g8","f1,g1","true","Ke1","KingCastle"
"40","c3,b3,a1,c1,f3,a4,h5,d4,b4,f4,g7,c5,a7,c4,d7,P,a6,d8,c7,d2,Q,f6,g4,b6,d3,,c2","c3","true","Q","Queen"
"41","b4,g7,b2,a5,e3,e5,h8,c4,e1,g3,h4,a1,g5,c5,d2,c2,f6,c1,d4,d6,d1,a3,h3,f4,e4,b5,c7","b4,c2,b2,c1","false","Qc3","Queen"
"42","d8,g5,d1,b2,b1,c2,c3,e8,b8,d5,c1,a5,f4,e7,b5,a1,d3,b4,c8,h5,g1,e5,h8,g7,b6,h7,d2","d8","true","Q","QueenAsBlack"
"43","d6,d7,d4,f6,d2,a5,d1,d3,b6,d5,c7,c4,e4,e7,b3,h4,c8,c6,e8,f5,e6,e5,c1,P,b4,c5,Q","d7,d6","true","Qd8","QueenAsBlack"
"44","d5,d7,c4,c7,a5,b7,c3,f3,c2,Q,a6,g7,a8,h7,e6,b5,b4,e2,N,h4,g1,d3,c1,e8,d6,R,f7","d5","true","Q","QueenAsBlack"
"45","g2,b4,c6,b5,d8,c4,d6,f5,d7,e6,d1,a2,e5,h1,e4,h5,a5,d5,g5,d3,d4,f7,b3,c2,b7,g6,d2","d6,c6,h5,g5,f5,e5,c5,b5,a5,e4,d4,c4,f3,d3,b3,g2,d2,a2","false","Qd5","QueenAsBlack"
"46","d2,g7,c7,h3,c2,f6,e3,e7,b2,h7,h1,d5,b3,e5,f2,g2,h4,h2,h5,a7,d3,f8,b1,f5,a2,e1,h8","d2","true","Q","QueenUncommonOpening"
"47","c3,d1,h6,g5,e3,e1,e2,a5,h2,c5,f4,d7,b4,c2,c1,d2,d4,g2,a2,d3,e4,b2,b3,g3,d6,f1,f3","g5,a5,f4,b4,e3,c3,d1","false","Qd2","QueenUncommonOpening"
"48","d1,h1,h5,d8,f5,c5,a1,e5,c1,d2,f1,h7,g1,a7,0-1,1-0,e6,f3,g7,b4,c8,a8,d3,b1,e4,g2,d4","d1","true","Q","QueenUncommonOpening"
"49","h5,g4,f3,e2,a4,d7,c2,b3,d5,e1,d3,f1,d2,c1,h4,e5,e8,e6,d4,f5,f4,b4,b5,e3,0-1,h6,e7","h5,g4,f3,e2","true","Qd1","QueenUncommonOpening"
"50","d1,f1,e3,h1,h7,d8,a7,a1,0-1,f7,h4,e4,,b7,1-0,h2,1/2-1/2,d2,h8,a8,g1,Q,e5,c5,g4,g7","d1","true","Q","QueenUncommonOpening"
"51","e2,h5,f3,g4,d3,a4,d5,d4,a6,e1,b3,b5,g1,c4,c2,d1,f4,d2,c1,c3,h4,h3,f1,h6,f2,g3,d6","f3,e2","false","Qd1","QueenUncommonOpening"
"52","b7,d7,f1,f4,a7,e8,e2,g7,c7,c2,c4,e7,b2,f7,e6,h7,e3,h6,c5,b8,e1,d8,g2,h2,h8,f8,g4","b7","true","Q","QueenCanPromote"
"53","b8,c7,c8,c6,e4,a8,b3,g8,a6,d7,d5,b1,f3,b4,b6,b2,a7,e8,g7,g2,d8,e7,b7,c5,f7,h7,f8","b8","true","Qb7","QueenCanPromote"
"54","b7,b8,e4,a7,g1,d8,f1,g2,b1,c8,c1,c4,a5,g8,a4,d1,c2,g4,d3,b3,f7,h8,c7,c5,f2,g5,b4","b7,e4","false","Q","TwoQueensOfOnePlayer"
