"Game String","Moves Until Error","Error Type","First Illegal Move","Predicted Tokens"
"Pe2e4 Pa7a6 Qd1f3 Pd7d6 Bf1c4 Pc7c6 Pd2d4 Bc8e6 Pd4d5 Be6d7 Pd5c6 Bd7c6 Qf3b3 Pb7b5 Bc4f7 Ke8d7 Qb3h3 Bc6e4 Qh3g4 Kd7c6 Nb1c3 Nb8d7 Bf7e6 Nd7c5 Qg4e4 Nc5e4 Nc3e4 Ng8f6 Ne4f6 Pg7f6 Be6d5 Kc6d5 Pc2c4 Kd5c4 Bc1d2 Pb5b4 Ng1f3 Kc4b5 Pa2a3 Bf8h6 Pa3b4 Kb5b4 Ra1b1 Bh6d2 Nf3d2 Pe7e5 Pb2b3 Ra8b8 Pf2f4 Kb4a3 Pf4e5 Pf6e5 Pb3b4 Ka3b4 Rb1d1 Kb4c4 Rd1c1 Kc4d4 Pg2g3 Kd4d5 Ke1g1 Rh8g8 Pg3g4 Kd5e6 Nd2e4 Qd8h4 Ne4d2 Pd6d5 Nd2e4 Qh4g4 Kg1f2 Qg4e4 Rf1g1 Rg8g1 Kf2g1 Pd5d4 Ph2h3 Pa6a5 Ph3h4 Qe4e3","17","pseudolegal","Pe2e4 Pa7a6 Qd1f3 Pd7d6 Bf1c4 Pc7c6 Pd2d4 Bc8e6 Pd4d5 Be6d7 Pd5c6 Bd7c6 Qf3b3 Pb7b5 Bc4f7 Ke8d7 Qb3h3 Bc6e4","75 6 40 42 6 13 12 2 31 49 6 37 36 4 47 26 6 29 28 6 32 34 4 30 44 6 34 35 4 44 37 6 35 28 4 37 28 2 49 17 6 21 19 4 26 53 1 46 37 2 17 65 4 28 42 2 65 58 1 37 28 5 15 25 5 22 37 4 53 44 5 37 27 2 58 42 5 27 42 5 25 42 5 62 52 5 42 52 6 61 52 4 44 35 1 28 35 6 24 26 1 35 26 4 23 32 6 19 18 5 55 49 1 26 19 6 8 9 4 54 68 6 9 18 1 19 18 3 7 15 4 68 32 5 49 32 6 45 43 6 16 17 3 14 22 6 48 50 1 18 9 6 50 43 6 52 43 6 17 18 1 9 18 3 15 31 1 18 26 3 31 23 1 26 34 6 56 57 1 34 35 1 39 55 3 70 62 6 57 58 1 35 44 5 32 42 2 38 66 5 42 32 6 36 35 5 32 42 2 66 58 1 55 48 2 58 42 3 47 55 3 62 55 1 48 55 6 35 34 6 64 65 6 12 11 6 65 66 2 42 41"
"Pg2g3 Pe7e5 Ph2h4 Pd7d6 Pa2a4 Pc7c6 Pb2b3 Nb8a6 Bc1a3 Na6c7 Pd2d3 Ph7h5 Pf2f3 Pg7g6 Bf1h3 Bc8h3 Ng1h3 Pc6c5 Pe2e4 Ng8f6 Pc2c3 Pd6d5 Qd1e2 Nc7e6 Pg3g4 Pd5e4 Pd3e4 Ph5g4 Nh3g1 Nf6h7 Pf3g4 Ne6f4 Qe2f2 Nf4d3 Ke1e2 Nd3f2 Ke2f2 Bf8g7 Kf2f3 Pf7f6 Kf3g3 Pg6g5 Kg3h3 Pg5h4 Pb3b4 Ra8c8 Pb4c5 Rc8c5 Pa4a5 Rc5c3 Ba3b2 Rc3c4 Bb2a3 Rc4c3 Ng1f3 Rc3c1 Ba3c1 Nh7g5 Kh3h4 Ng5e4 Nb1d2 Ne4d2 Nf3d2 Pf6f5 Pg4f5 Bg7f8 Kh4g3 Bf8e7 Pf5f6 Be7f6 Bc1b2 Pe5e4 Bb2f6 Qd8f6 Ra1f1 Qf6h6 Kg3f2 Qh6h3 Kf2e2 Pe4e3","50","pseudolegal","Pg2g3 Pe7e5 Ph2h4 Pd7d6 Pa2a4 Pc7c6 Pb2b3 Nb8a6 Bc1a3 Na6c7 Pd2d3 Ph7h5 Pf2f3 Pg7g6 Bf1h3 Bc8h3 Ng1h3 Pc6c5 Pe2e4 Ng8f6 Pc2c3 Pd6d5 Qd1e2 Nc7e6 Pg3g4 Pd5e4 Pd3e4 Ph5g4 Nh3g1 Nf6h7 Pf3g4 Ne6f4 Qe2f2 Nf4d3 Ke1e2 Nd3f2 Ke2f2 Bf8g7 Kf2f3 Pf7f6 Kf3g3 Pg6g5 Kg3h3 Pg5h4 Pb3b4 Ra8c8 Pb4c5 Rc8c5 Pa4a5 Rc5c3 Ba3b2","75 6 56 57 6 45 43 6 64 66 6 37 36 6 8 10 6 29 28 6 16 17 5 22 12 4 23 9 5 12 29 6 32 33 6 69 67 6 48 49 6 61 60 4 47 65 4 30 65 5 55 65 6 28 27 6 40 42 5 62 52 6 24 25 6 36 35 2 31 40 5 29 44 6 57 58 6 35 42 6 33 42 6 67 58 5 65 55 5 52 69 6 49 58 5 44 50 2 40 48 5 50 33 1 39 40 5 33 48 1 40 48 4 54 61 1 48 49 6 53 52 1 49 57 6 60 59 1 57 65 6 59 66 6 17 18 3 14 30 6 18 27 3 30 27 6 10 11 3 27 25 4 9 16 3 25 26 4 16 9 3 26 25 5 55 49 3 25 23 4 9 23 5 69 59 1 65 66 5 59 42 5 15 32 5 42 32 5 49 32 6 52 51 6 58 51 4 61 54 1 66 57 4 54 45 6 51 52 4 45 52 4 23 16 6 43 42 4 16 52 2 38 52 3 7 47 2 52 68 1 57 48 2 68 65 1 48 40 6 42 41"
"Pe2e4 Nb8c6 Ng1f3 Pd7d5 Pe4d5 Qd8d5 Pd2d4 Bc8f5 Bf1d3 Pg7g6 Pc2c4 Qd5e4 Bd3e4 Bf5e4 Nf3d2 Ke8c8 Qd1g4 Kc8b8 Nb1c3 Be4f5 Qg4f3 Pe7e6 Qf3f6 Ng8f6 Pd4d5 Nc6d4 Ke1d1 Nd4c2 Ra1b1 Pe6d5 Nc3b5 Bf8c5 Nb5c3 Bf5g4 Pf2f3 Bg4f5 Nc3a4 Bc5d4 Na4c3 Pc7c6 Pf3f4 Bd4g1 Rh1g1 Bf5d3 Rg1e1 Nc2e1 Kd1e1 Bd3c4 Pg2g3 Pd5d4 Nc3e4 Nf6e4 Rb1a1 Pd4d3 Bc1d2 Rh8e8 Ke1d1 Ne4f6 Pb2b3 Bc4d5 Pb3b4 Rd8d7 Pb4b5 Pc6b5 Nd2b1 Re8d8 Pa2a4 Pb5a4 Ra1a4 Bd5b3 Kd1d2 Nf6e4 Kd2e3 Ne4d6 Ke3d4 Nd6f5 Kd4c3 Nf5e3 Ra4c4 Ne3c4","22","path obstruction","Pe2e4 Nb8c6 Ng1f3 Pd7d5 Pe4d5 Qd8d5 Pd2d4 Bc8f5 Bf1d3 Pg7g6 Pc2c4 Qd5e4 Bd3e4 Bf5e4 Nf3d2 Ke8c8 Qd1g4 Kc8b8 Nb1c3 Be4f5 Qg4f3 Pe7e6 Qf3f6","75 6 40 42 5 22 28 5 55 49 6 37 35 6 42 35 2 38 35 6 32 34 4 30 51 4 47 33 6 61 60 6 24 26 2 35 42 4 33 42 4 51 42 5 49 32 1 46 30 2 31 58 1 30 22 5 15 25 4 42 51 2 58 49 6 45 44 2 49 52 5 62 52 6 34 35 5 28 34 1 39 31 5 34 24 3 7 15 6 44 35 5 25 19 4 54 27 5 19 25 4 51 58 6 48 49 4 58 51 5 25 10 4 27 34 5 10 25 6 29 28 6 49 50 4 34 55 3 63 55 4 51 33 3 55 39 5 24 39 1 31 39 4 33 26 6 56 57 6 35 34 5 25 42 5 52 42 3 15 7 6 34 33 4 23 32 3 70 46 1 39 31 5 42 52 6 16 17 4 26 35 6 17 18 3 38 37 6 18 19 6 28 19 5 32 15 3 46 38 6 8 10 6 19 10 3 7 10 4 35 17 1 31 32 5 52 42 1 32 41 5 42 36 1 41 34 5 36 51 1 34 25 5 51 41 3 10 26 5 41 26"
"Pe2e3 Pe7e5 Pb2b4 Qd8f6 Pc2c4 Pc7c5 Pb4c5 Bf8c5 Pg2g3 Pd7d6 Bf1g2 Pg7g5 Nb1c3 Pg5g4 Nc3e4 Qf6d8 Pd2d4 Bc5b4 Bc1d2 Bb4d2 Qd1d2 Pd6d5 Ne4c5 Nb8c6 Nc5d3 Pf7f5 Pc4d5 Qd8d5 Bg2d5 Nc6b4 Bd5a8 Nb4d3 Qd2d3 Ng8f6 Ba8c6 Ke8e7 Ng1e2 Pe5e4 Qd3c4 Bc8e6 Qc4c5 Ke7f7 Qc5c7 Kf7g6 Qc7e5 Rh8a8 Qe5e6 Kg6g5 Qe6e5 Kg5g6 Qe5e6 Kg6g5 Qe6e5 Kg5g6 Bc6a8 Nf6d7 Qe5e6 Kg6g7 Qe6d7 Kg7f6 Qd7e6 Kf6g6 Ba8d5 Kg6g5 Bd5c4 Ph7h5 Qe6f7 Ph5h4 Qf7g7 Kg5h5 Bc4e2 Kh5g5 Qg7g5 Kg5f6 Qg5f5 Kf6g6 Qf5g4 Kg6f6 Qg4h4 Kf6f5","30","path obstruction","Pe2e3 Pe7e5 Pb2b4 Qd8f6 Pc2c4 Pc7c5 Pb4c5 Bf8c5 Pg2g3 Pd7d6 Bf1g2 Pg7g5 Nb1c3 Pg5g4 Nc3e4 Qf6d8 Pd2d4 Bc5b4 Bc1d2 Bb4d2 Qd1d2 Pd6d5 Ne4c5 Nb8c6 Nc5d3 Pf7f5 Pc4d5 Qd8d5 Bg2d5 Nc6b4 Bd5a8","75 6 40 41 6 45 43 6 16 18 2 38 52 6 24 26 6 29 27 6 18 27 4 54 27 6 56 57 6 37 36 4 47 56 6 61 59 5 15 25 6 59 58 5 25 42 2 52 38 6 32 34 4 27 18 4 23 32 4 18 32 2 31 32 6 36 35 5 42 27 5 22 28 5 27 33 6 53 51 6 26 35 2 38 35 4 56 35 5 28 18 4 35 14 5 18 33 2 32 33 5 62 52 4 14 28 1 46 45 5 55 40 6 43 42 2 33 26 4 30 44 2 26 27 1 45 53 2 27 29 1 53 60 2 29 43 3 70 14 2 43 44 1 60 59 2 44 43 1 59 60 2 43 44 1 60 59 2 44 43 1 59 60 4 28 14 5 52 37 2 43 44 1 60 61 2 44 37 1 61 52 2 37 44 1 52 60 4 14 35 1 60 59 4 35 26 6 69 67 2 44 53 6 67 66 2 53 61 1 59 67 4 26 40 1 67 59 2 61 59 1 59 52 2 59 51 1 52 60 2 51 58 1 60 52 2 58 66 1 52 51"
"Pe2e4 Pc7c6 Pd2d3 Ph7h6 Pc2c4 Pd7d5 Pe4d5 Pc6d5 Nb1c3 Pd5c4 Pd3c4 Qd8d1 Nc3d1 Pe7e5 Ng1f3 Bf8b4 Bc1d2 Bb4d2 Nf3d2 Bc8d7 Nd1e3 Ng8f6 Pf2f3 Nb8c6 Pg2g3 Nc6d4 Pf3f4 Pe5e4 Bf1g2 Ke8g8 Ke1g1 Pb7b5 Pc4c5 Nd4e2 Kg1h1 Ne2d4 Bg2e4 Nd4c2 Ne3c2 Bd7f5 Be4f5 Ra8d8 Bf5e4 Nf6e4 Nc2e3 Ne4d2 Ph2h3 Nd2f1 Ne3f1 Rd8d2 Nf1d2 Rf8d8 Ra1d1 Rd8d2 Rd1d2 Kg8f8 Rd2d8 Kf8e7 Rd8b8 Pg7g5 Pf4g5 Ph6g5 Rb8b7 Ke7f6 Rb7b5 Pa7a6 Rb5b6 Kf6e5 Rb6a6 Ke5d5 Ra6a5 Kd5c6 Ra5g5 Kc6b6 Rg5b5 Kb6c6 Rb5b4 Pf7f5 Kh1g2 Kc6c5","72","path obstruction","Pe2e4 Pc7c6 Pd2d3 Ph7h6 Pc2c4 Pd7d5 Pe4d5 Pc6d5 Nb1c3 Pd5c4 Pd3c4 Qd8d1 Nc3d1 Pe7e5 Ng1f3 Bf8b4 Bc1d2 Bb4d2 Nf3d2 Bc8d7 Nd1e3 Ng8f6 Pf2f3 Nb8c6 Pg2g3 Nc6d4 Pf3f4 Pe5e4 Bf1g2 Ke8g8 Ke1g1 Pb7b5 Pc4c5 Nd4e2 Kg1h1 Ne2d4 Bg2e4 Nd4c2 Ne3c2 Bd7f5 Be4f5 Ra8d8 Bf5e4 Nf6e4 Nc2e3 Ne4d2 Ph2h3 Nd2f1 Ne3f1 Rd8d2 Nf1d2 Rf8d8 Ra1d1 Rd8d2 Rd1d2 Kg8f8 Rd2d8 Kf8e7 Rd8b8 Pg7g5 Pf4g5 Ph6g5 Rb8b7 Ke7f6 Rb7b5 Pa7a6 Rb5b6 Kf6e5 Rb6a6 Ke5d5 Ra6a5 Kd5c6 Ra5g5","75 6 40 42 6 29 28 6 32 33 6 69 68 6 24 26 6 37 35 6 42 35 6 28 35 5 15 25 6 35 26 6 33 26 2 38 31 5 25 31 6 45 43 5 55 49 4 54 18 4 23 32 4 18 32 5 49 32 4 30 37 5 31 41 5 62 52 6 48 49 5 22 28 6 56 57 5 28 34 6 49 50 6 43 42 4 47 56 1 46 62 1 39 55 6 21 19 6 26 27 5 34 40 1 55 63 5 40 34 4 56 42 5 34 24 5 41 24 4 37 51 4 42 51 3 14 38 4 51 42 5 52 42 5 24 41 5 42 32 6 64 65 5 32 47 5 41 47 3 38 32 5 47 32 3 54 38 3 7 31 3 38 32 3 31 32 1 62 54 3 32 38 1 54 45 3 38 22 6 61 59 6 50 59 6 68 59 3 22 21 1 45 52 3 21 19 6 13 12 3 19 20 1 52 43 3 20 12 1 43 35 3 12 11 1 35 28 3 11 59 1 28 20 3 59 19 1 20 28 3 19 18 6 53 51 1 63 56 1 28 27"
"Pa2a3 Pc7c6 Pe2e3 Pd7d5 Ph2h3 Pe7e5 Pd2d4 Ng8f6 Nb1c3 Pe5e4 Bc1d2 Bf8d6 Ng1e2 Ke8g8 Pg2g4 Bc8e6 Ne2f4 Nb8d7 Bf1e2 Pc6c5 Pd4c5 Bd6c5 Ke1g1 Rf8e8 Nf4e6 Re8e6 Nc3b5 Pa7a6 Nb5d4 Bc5d6 Pg4g5 Nf6e8 Pf2f3 Ne8c7 Pf3e4 Re6e7 Pe4e5 Nd7e5 Rf1f2 Bd6c5 Bd2c3 Bc5d4 Bc3d4 Pf7f6 Pb2b4 Ne5c4 Be2c4 Pd5c4 Qd1e2 Re7f7 Ra1f1 Rf7d7 Bd4c5 Qd8e7 Bc5e7 Rd7e7 Rf2f6 Ra8e8 Rf6e6 Re7e6 Qe2e6 Kg8h8 Qe6c4 Re8e3 Rf1f2 Nc7d5 Qc4d5 Kh8g8 Qd5b7 Re3h3 Rf2f3 Rh3f3 Qb7d5 Kg8f8 Qd5f3 Kf8e8 Qf3a8 Ke8e7 Qa8a6 Ke7d6","60","path obstruction","Pa2a3 Pc7c6 Pe2e3 Pd7d5 Ph2h3 Pe7e5 Pd2d4 Ng8f6 Nb1c3 Pe5e4 Bc1d2 Bf8d6 Ng1e2 Ke8g8 Pg2g4 Bc8e6 Ne2f4 Nb8d7 Bf1e2 Pc6c5 Pd4c5 Bd6c5 Ke1g1 Rf8e8 Nf4e6 Re8e6 Nc3b5 Pa7a6 Nb5d4 Bc5d6 Pg4g5 Nf6e8 Pf2f3 Ne8c7 Pf3e4 Re6e7 Pe4e5 Nd7e5 Rf1f2 Bd6c5 Bd2c3 Bc5d4 Bc3d4 Pf7f6 Pb2b4 Ne5c4 Be2c4 Pd5c4 Qd1e2 Re7f7 Ra1f1 Rf7d7 Bd4c5 Qd8e7 Bc5e7 Rd7e7 Rf2f6 Ra8e8 Rf6e6 Re7e6 Qe2e6","75 6 8 9 6 29 28 6 40 41 6 37 35 6 64 65 6 45 43 6 32 34 5 62 52 5 15 25 6 43 42 4 23 32 4 54 36 5 55 40 1 46 62 6 56 58 4 30 44 5 40 50 5 22 37 4 47 40 6 28 27 6 34 27 4 36 27 1 39 55 3 54 46 5 50 44 3 46 44 5 25 19 6 13 12 5 19 34 4 27 36 6 58 59 5 52 46 6 48 49 5 46 29 6 49 42 3 44 45 6 42 43 5 37 43 3 47 48 4 36 27 4 32 25 4 27 34 4 25 34 6 53 52 6 16 18 5 43 26 4 40 26 6 35 26 2 31 40 3 45 53 3 7 47 3 53 37 4 34 27 2 38 45 4 27 45 3 37 45 3 48 52 3 14 46 3 52 44 3 45 44 2 40 44 1 62 70 2 44 26 3 46 41 3 47 48 5 29 35 2 26 35 1 70 62 2 35 21 3 41 65 3 48 49 3 65 49 2 21 35 1 62 54 2 35 49 1 54 46 2 49 14 1 46 45 2 14 12 1 45 36"
"Ng1f3 Pe2e3 Nf3d4 Pe7e5 Nd4f5 Qd8f6 Pd2d3 Bf8c5 Nb1c3 Ng8h6 Nc3d5 Qf6c6 Bc1e3 Bc5e3 Nd5e3 Ke8g8 Ph2h3 Pd7d6 Pd3d4 Bc8f5 Pd4e5 Pd6e5 Qd1c1 Rf8d8 Qc1d2 Nh6g8 Ke1c1 Qc6a4 Pb2b3 Qa4a3 Kc1b1 Nb8c6 Ne3f5 Pg7g6 Nf5g3 Rd8d2 Kb1a1 Qa3b4 Pa2a3 Qb4f4 Pf2f3 Pe5e4 Pf3e4 Qf4e4 Ng3e4 Rd2d1 Ne4c5 Rd1f1 Rh1h2 Rf1c1 Ka1b2 Nc6d4 Kb2a2 Nd4c2 Pb3b4 Pb7b6 Nc5d7 Rc1c7 Nd7e5 Ra8d8 Ne5c6 Rc7b7 Rh2d2 Nc2e3 Ka2b2 Rd8d2 Nc6e5 Ne3d5 Ne5c6 Nd5e3 Nc6e7 Kg8g7 Ne7d5 Rd2e2 Kb2c3 Ne3d5 Kc3c4 Nd5e3 Kc4c3 Re2c2","1","piece logic","Ng1f3 Pe2e3","75 5 55 49 6 40 41 5 49 34 6 45 43 5 34 51 2 38 52 6 32 33 4 54 27 5 15 25 5 62 68 5 25 35 2 52 28 4 23 41 4 27 41 5 35 41 1 46 62 6 64 65 6 37 36 6 33 34 4 30 51 6 34 43 6 36 43 2 31 23 3 54 38 2 23 32 5 68 62 1 39 23 2 28 10 6 16 17 2 10 9 1 23 15 5 22 28 5 41 51 6 61 60 5 51 57 3 38 32 1 15 7 2 9 18 6 8 9 2 18 50 6 48 49 6 43 42 6 49 42 2 50 42 5 57 42 3 32 31 5 42 27 3 31 47 3 63 64 3 47 23 1 7 16 5 28 34 1 16 8 5 34 24 6 17 18 6 21 20 5 27 37 3 23 29 5 37 43 3 14 38 5 43 28 3 29 21 3 64 32 5 24 41 1 8 16 3 38 32 5 28 43 5 41 35 5 43 28 5 35 41 5 28 45 1 62 61 5 45 35 3 32 40 1 16 25 5 41 35 1 25 26 5 35 41 1 26 25 3 40 24"
"Pe2e4 Pg7g6 Pc2c3 Bf8g7 Pd2d4 Pd7d6 Ph2h3 Pc7c6 Bc1e3 Nb8d7 Nb1d2 Ph7h6 Pf2f3 Ng8f6 Pg2g4 Pe7e5 Pd4e5 Pd6e5 Qd1c2 Qd8e7 Ph3h4 Nf6h7 Pg4g5 Ph6g5 Be3g5 Qe7e6 Bg5e3 Pb7b6 Nd2c4 Bc8a6 Pa2a3 Ba6c4 Bf1c4 Qe6c4 Qc2d3 Qc4d3 Pe2d3 Nd7c5 Ng1e2 Nc5a4 Ra1c1 Pc6c5 Pb2b3 Na4b2 Ke1g1 Nb2d3 Rc1c2 Nd3f4 Ne2f4 Pe5f4 Be3f2 Ke8g8 Ph4h5 Nh7g5 Ph5g6 Pf7g6 Bf2h4 Ra8d8 Kg1g2 Rd8c8 Bh4g5 Bg7c3 Bg5e7 Rf8e8 Be7g5 Rc8c6 Pe4e5 Rc6e6 Rc2e2 Re6e7 Pa3a4 Bc3e5 Re2e5 Re7e5 Rf1f2 Re5f5 Bg5f4 Rf5f4 Rf2d2 Rf4f5","36","pseudolegal","Pe2e4 Pg7g6 Pc2c3 Bf8g7 Pd2d4 Pd7d6 Ph2h3 Pc7c6 Bc1e3 Nb8d7 Nb1d2 Ph7h6 Pf2f3 Ng8f6 Pg2g4 Pe7e5 Pd4e5 Pd6e5 Qd1c2 Qd8e7 Ph3h4 Nf6h7 Pg4g5 Ph6g5 Be3g5 Qe7e6 Bg5e3 Pb7b6 Nd2c4 Bc8a6 Pa2a3 Ba6c4 Bf1c4 Qe6c4 Qc2d3 Qc4d3 Pe2d3","75 6 40 42 6 61 60 6 24 25 4 54 61 6 32 34 6 37 36 6 64 65 6 29 28 4 23 41 5 22 37 5 15 32 6 69 68 6 48 49 5 62 52 6 56 58 6 45 43 6 34 43 6 36 43 2 31 24 2 38 45 6 65 66 5 52 69 6 58 59 6 68 59 4 41 59 2 45 44 4 59 41 6 21 20 5 32 26 4 30 12 6 8 9 4 12 26 4 47 26 2 44 26 2 24 33 2 26 33 6 40 33 5 37 27 5 55 40 5 27 10 3 7 23 6 28 27 6 16 17 5 10 16 1 39 55 5 16 33 3 23 24 5 33 50 5 40 50 6 43 50 4 41 48 1 46 62 6 66 67 5 69 59 6 67 60 6 53 60 4 48 66 3 14 38 1 55 56 3 38 30 4 66 59 4 61 25 4 59 45 3 54 46 4 45 59 3 30 28 6 42 43 3 28 44 3 24 40 3 44 45 6 9 10 4 25 43 3 40 43 3 45 43 3 47 48 3 43 51 4 59 50 3 51 50 3 48 32 3 50 51"
"Ph2h4 Pe7e5 Ph4h5 Ph7h6 Pd2d4 Nb8c6 Pd4d5 Nc6d4 Pc2c3 Nd4f5 Pg2g4 Nf5h4 Ng1f3 Nh4f3 Qd1f3 Pd7d6 Bf1g2 Bc8g4 Qf3g3 Qd8d7 Bc1e3 Ng8f6 Nb1d2 Pc7c6 Nd2e4 Nf6e4 Qg3e3 Pf7f5 Pf2f3 Ne4f6 Pf3g4 Nf6g4 Bg2f3 Pg7g6 Ph5g6 Rh8g8 Bf3g4 Pf5g4 Qe3e4 Ph6h5 Qe4f4 Rg8g6 Ke1c1 Bf8g7 Rd1g1 Bg7h6 Qf4e4 Bh6e3 Kc1b1 Pc6d5 Qe4g6 Qd7f7 Qg6f7 Ke8f7 Be3g5 Be3g1 Rh1g1 Kf7g6 Rg1h1 Kg6g5 Rh1d1 Pe5e4 Rd1d5 Pe4e3 Rd5d6 Pb7b5 Rd6d5 Kg5f4 Rd5d4 Kf4e5 Rd4d5 Ke5e6 Rd5c5 Pa7a5 Rc5b5 Pe3e2 Rb5b6 Ke6d7 Pc3c4 Qe2e1","14","path obstruction","Ph2h4 Pe7e5 Ph4h5 Ph7h6 Pd2d4 Nb8c6 Pd4d5 Nc6d4 Pc2c3 Nd4f5 Pg2g4 Nf5h4 Ng1f3 Nh4f3 Qd1f3","75 6 64 66 6 45 43 6 66 67 6 69 68 6 32 34 5 22 28 6 34 35 5 28 34 6 24 25 5 34 51 6 56 58 5 51 66 5 55 49 5 66 49 2 31 49 6 37 36 4 47 56 4 30 58 2 49 57 2 38 37 4 23 41 5 62 52 5 15 32 6 29 28 5 32 42 5 52 42 2 57 41 6 53 51 6 48 49 5 42 52 6 49 58 5 52 58 4 56 49 6 61 60 6 67 60 3 70 62 4 49 58 6 51 58 2 41 42 6 68 67 2 42 50 3 62 60 1 39 23 4 54 61 3 31 55 4 61 68 2 50 42 4 68 41 1 23 15 6 28 35 2 42 60 2 37 53 2 60 53 1 46 53 4 41 59 4 41 55 3 63 55 1 53 60 3 55 63 1 60 59 3 63 31 6 43 42 3 31 35 6 42 41 3 35 36 6 21 19 3 36 35 1 59 50 3 35 34 1 50 43 3 34 35 1 43 44 3 35 27 6 13 11 3 27 19 6 41 40 3 19 20 1 44 37 6 25 26 2 40 39"
"Pe2e4 Pa7a5 Pb2b3 Ng8f6 Pe4e5 Nf6g8 Bc1b2 Pd7d6 Pe5d6 Pc7d6 Nb1c3 Pg7g6 Ng1f3 Bf8g7 Pg2g3 Ng8f6 Bf1g2 Ke8g8 Ke1g1 Nb8c6 Pd2d3 Bc8g4 Ph2h3 Bg4f3 Bg2f3 Nc6e5 Bf3g2 Ne5c6 Nc3e2 Qd8d7 Kg1h2 Nf6h5 Pf2f4 Nh5f6 Rf1f3 Pe7e5 Pf4e5 Pd6e5 Bb2e5 Nc6e5 Rf3f2 Ra8d8 Qd1f1 Ph7h5 Pd3d4 Ne5c6 Pd4d5 Nc6e5 Ra1d1 Ne5g4 Ph3g4 Nf6g4 Kh2h1 Ng4f2 Rd1d4 Bg7d4 Qf1f2 Ph5h4 Ne2d4 Ph4g3 Qf2g3 Qd7d6 Qg3d6 Rd8d6 Nd4f3 Kg8g7 Nf3g5 Rf8d8 Bg2h3 Kg7f6 Ng5f3 Rd6b6 Bh3g2 Rb6b3 Pa2b3 Rd8d5 Nf3h4 Kf6e5 Bg2d5 Ke5d5","54","pseudolegal","Pe2e4 Pa7a5 Pb2b3 Ng8f6 Pe4e5 Nf6g8 Bc1b2 Pd7d6 Pe5d6 Pc7d6 Nb1c3 Pg7g6 Ng1f3 Bf8g7 Pg2g3 Ng8f6 Bf1g2 Ke8g8 Ke1g1 Nb8c6 Pd2d3 Bc8g4 Ph2h3 Bg4f3 Bg2f3 Nc6e5 Bf3g2 Ne5c6 Nc3e2 Qd8d7 Kg1h2 Nf6h5 Pf2f4 Nh5f6 Rf1f3 Pe7e5 Pf4e5 Pd6e5 Bb2e5 Nc6e5 Rf3f2 Ra8d8 Qd1f1 Ph7h5 Pd3d4 Ne5c6 Pd4d5 Nc6e5 Ra1d1 Ne5g4 Ph3g4 Nf6g4 Kh2h1 Ng4f2 Rd1d4","75 6 40 42 6 13 11 6 16 17 5 62 52 6 42 43 5 52 62 4 23 16 6 37 36 6 43 36 6 29 36 5 15 25 6 61 60 5 55 49 4 54 61 6 56 57 5 62 52 4 47 56 1 46 62 1 39 55 5 22 28 6 32 33 4 30 58 6 64 65 4 58 49 4 56 49 5 28 43 4 49 56 5 43 28 5 25 40 2 38 37 1 55 64 5 52 67 6 48 50 5 67 52 3 47 49 6 45 43 6 50 43 6 36 43 4 16 43 5 28 43 3 49 48 3 14 38 2 31 47 6 69 67 6 33 34 5 43 28 6 34 35 5 28 43 3 7 31 5 43 58 6 65 58 5 52 58 1 64 63 5 58 48 3 31 34 4 61 34 2 47 48 6 67 66 5 40 34 6 66 57 2 48 57 2 37 36 2 57 36 3 38 36 5 34 49 1 62 61 5 49 59 3 54 38 4 56 65 1 61 52 5 59 49 3 36 20 4 65 56 3 20 17 6 8 17 3 38 35 5 49 66 1 52 43 4 56 35 1 43 35"
