"Position ID","Predicted Move","Correct Moves","Correctness","Piece","Tag"
"0","d2,c4,g1,f2,b2,c2,e2,d4,f1,g5,e3,h1,b4,b1,a4,c7,c1,e7,e4,h2,c3,a3,g7,d1,h3,g4,g2","d2","true","K","King"
"1","c2,e2,c3,d3,e3,c1,d1,e1,d4,e4,c4,b3,d2,f3,f2,g2,d7,f4,b4,b2,a2,d8,f1,d5,d6,b1,-","e3,d3,c3,e2,c2,d1,c1","true","Kd2","King"
"2","e1,d2,c1,e8,d8,g1,c2,f3,e2,b1,d1,e5,d4,0-1,d5,h1,e4,f2,K,,g4,h2,a1,c3,f1,,x","e1","true","K","King"
"3","g1,c1,e2,f1,d2,d1,e4,f2,b1,d5,d3,c3,e3,a1,c2,g3,e8,c4,h4,e6,g2,e5,f4,e7,d4,f8,b4","e2,d2,f1,d1,g1","false","Ke1","King"
"4","d1,f1,e2,e1,d8,f2,h1,b1,g3,$,c4,c6,d2,0-1,c8,g1,d7,e8,a1,c1,+,f4,f8,e4,K,h2,b5","d1","true","K","King"
"5","d2,c1,e1,c2,e2,d3,b1,b2,d4,b3,a4,d5,g1,a1,c3,b4,d8,f2,g4,d6,e3,d7,a2,g2,d1,f3,f1","d2,e1,c1","true","Kd1","King"
"6","e8,g8,f7,e7,f8,c8,h8,e1,b8,h7,d8,c7,a7,x,g7,1-0,-,,1/2-1/2,d5,c2,c5,h2,c6,b2,d6","e8","true","K","KingAsBlack"
"7","d7,d8,e7,f7,f8,c8,e5,+,g8,e6,d6,f5,-,g7,c5,1-0,f6,$,c2,e8,0-1,b8,e1,K,c6,b6,e4","d7","true","Ke8","KingAsBlack"
"8","e8,e7,c8,b8,d5,e6,d6,e1,d8,d7,g8,f7,c6,c5,c7,d4,e5,a8,b6,,c2,P,g7,Q,f8,a7,h8","e8","true","K","KingAsBlack"
"9","g8,c8,e7,f8,d8,d7,f7,g1,b8,e4,a8,c1,e2,c6,b1,g6,e5,+,h8,P,h5,N,b4,e1,c3,c7,a6","d8","false","Ke8","KingAsBlack"
"10","e1,c1,e8,d2,0-1,e2,d1,e3,b1,a1,f2,a2,c2,h2,g1,a3,a4,h1,,$,K,h3,x,c5,b8,b2,h4","e1","true","K","KingUncommonOpening"
"11","d1,d2,c1,e2,f2,f1,h2,e1,c3,g3,g1,e4,a5,g2,e3,h4,f3,a3,b1,g5,a2,,a1,g6,e8,f5,c2","d1","true","Ke1","KingUncommonOpening"
"12","e1,e8,c1,0-1,d2,d1,e2,f2,e3,g1,c2,,f1,h1,c5,a1,$,K,Q,c3,b4,P,R,f4,a2,B,b1","e1","true","K","KingUncommonOpening"
"13","g1,f1,e2,b1,g8,c1,d2,f2,c4,e3,g3,d1,b2,e6,f6,e5,h4,c2,c6,h1,a6,e8,f3,P,N,c3,e1","f1","false","Ke1","KingUncommonOpening"
